"Date","JobName","Status","Duration","DataSizeGB","SuccessRate"
"2026-02-13","SIS-Database-Daily","Success","74","124","100"
"2026-02-13","FileServer-Staff-Daily","Success","108","89","100"
"2026-02-13","FileServer-Students-Daily","Success","75","157","100"
"2026-02-13","DomainControllers-Daily","Success","83","20","100"
"2026-02-13","Exchange-Online-Archive","Success","21","57","100"
"2026-02-13","Canvas-LMS-Backup","Success","27","39","100"
"2026-02-13","Hyper-V-Hosts-Daily","Success","105","99","100"
"2026-02-13","PrintServer-Daily","Success","57","12","100"
"2026-02-12","SIS-Database-Daily","Success","69","116","100"
"2026-02-12","FileServer-Staff-Daily","Success","22","84","100"
"2026-02-12","FileServer-Students-Daily","Success","29","151","100"
"2026-02-12","DomainControllers-Daily","Success","16","14","100"
"2026-02-12","Exchange-Online-Archive","Success","59","55","100"
"2026-02-12","Canvas-LMS-Backup","Success","85","26","100"
"2026-02-12","Hyper-V-Hosts-Daily","Warning","111","92","90"
"2026-02-12","PrintServer-Daily","Success","94","14","100"
"2026-02-11","SIS-Database-Daily","Success","30","114","100"
"2026-02-11","FileServer-Staff-Daily","Warning","115","78","92"
"2026-02-11","FileServer-Students-Daily","Success","70","157","100"
"2026-02-11","DomainControllers-Daily","Success","109","16","100"
"2026-02-11","Exchange-Online-Archive","Success","78","72","100"
"2026-02-11","Canvas-LMS-Backup","Success","70","40","100"
"2026-02-11","Hyper-V-Hosts-Daily","Success","96","96","100"
"2026-02-11","PrintServer-Daily","Success","90","19","100"
"2026-02-10","SIS-Database-Daily","Success","90","125","100"
"2026-02-10","FileServer-Staff-Daily","Success","60","90","100"
"2026-02-10","FileServer-Students-Daily","Success","82","157","100"
"2026-02-10","DomainControllers-Daily","Success","101","22","100"
"2026-02-10","Exchange-Online-Archive","Success","40","63","100"
"2026-02-10","Canvas-LMS-Backup","Success","62","27","100"
"2026-02-10","Hyper-V-Hosts-Daily","Warning","40","99","85"
"2026-02-10","PrintServer-Daily","Success","73","22","100"
"2026-02-09","SIS-Database-Daily","Success","46","115","100"
"2026-02-09","FileServer-Staff-Daily","Success","31","75","100"
"2026-02-09","FileServer-Students-Daily","Success","77","155","100"
"2026-02-09","DomainControllers-Daily","Success","69","19","100"
"2026-02-09","Exchange-Online-Archive","Success","21","56","100"
"2026-02-09","Canvas-LMS-Backup","Success","94","36","100"
"2026-02-09","Hyper-V-Hosts-Daily","Success","79","92","100"
"2026-02-09","PrintServer-Daily","Success","51","15","100"
"2026-02-08","SIS-Database-Daily","Success","39","116","100"
"2026-02-08","FileServer-Staff-Daily","Success","60","83","100"
"2026-02-08","FileServer-Students-Daily","Success","116","157","100"
"2026-02-08","DomainControllers-Daily","Success","87","26","100"
"2026-02-08","Exchange-Online-Archive","Success","83","70","100"
"2026-02-08","Canvas-LMS-Backup","Success","35","39","100"
"2026-02-08","Hyper-V-Hosts-Daily","Success","56","86","100"
"2026-02-08","PrintServer-Daily","Success","95","25","100"
"2026-02-07","SIS-Database-Daily","Success","91","110","100"
"2026-02-07","FileServer-Staff-Daily","Success","52","76","100"
"2026-02-07","FileServer-Students-Daily","Success","79","155","100"
"2026-02-07","DomainControllers-Daily","Success","97","12","100"
"2026-02-07","Exchange-Online-Archive","Success","119","69","100"
"2026-02-07","Canvas-LMS-Backup","Success","90","39","100"
"2026-02-07","Hyper-V-Hosts-Daily","Success","60","86","100"
"2026-02-07","PrintServer-Daily","Success","70","17","100"
"2026-02-06","SIS-Database-Daily","Success","58","118","100"
"2026-02-06","FileServer-Staff-Daily","Success","89","79","100"
"2026-02-06","FileServer-Students-Daily","Success","48","147","100"
"2026-02-06","DomainControllers-Daily","Success","93","29","100"
"2026-02-06","Exchange-Online-Archive","Success","27","62","100"
"2026-02-06","Canvas-LMS-Backup","Success","91","40","100"
"2026-02-06","Hyper-V-Hosts-Daily","Warning","22","98","91"
"2026-02-06","PrintServer-Daily","Success","107","22","100"
"2026-02-05","SIS-Database-Daily","Success","111","116","100"
"2026-02-05","FileServer-Staff-Daily","Success","59","76","100"
"2026-02-05","FileServer-Students-Daily","Success","54","152","100"
"2026-02-05","DomainControllers-Daily","Success","108","24","100"
"2026-02-05","Exchange-Online-Archive","Success","98","55","100"
"2026-02-05","Canvas-LMS-Backup","Success","20","27","100"
"2026-02-05","Hyper-V-Hosts-Daily","Success","113","90","100"
"2026-02-05","PrintServer-Daily","Success","107","12","100"
"2026-02-04","SIS-Database-Daily","Success","75","123","100"
"2026-02-04","FileServer-Staff-Daily","Success","114","75","100"
"2026-02-04","FileServer-Students-Daily","Success","93","158","100"
"2026-02-04","DomainControllers-Daily","Success","57","29","100"
"2026-02-04","Exchange-Online-Archive","Success","46","69","100"
"2026-02-04","Canvas-LMS-Backup","Success","67","25","100"
"2026-02-04","Hyper-V-Hosts-Daily","Success","65","97","100"
"2026-02-04","PrintServer-Daily","Success","69","18","100"
"2026-02-03","SIS-Database-Daily","Success","101","119","100"
"2026-02-03","FileServer-Staff-Daily","Success","44","89","100"
"2026-02-03","FileServer-Students-Daily","Success","56","148","100"
"2026-02-03","DomainControllers-Daily","Warning","41","11","93"
"2026-02-03","Exchange-Online-Archive","Success","47","58","100"
"2026-02-03","Canvas-LMS-Backup","Success","41","44","100"
"2026-02-03","Hyper-V-Hosts-Daily","Success","20","103","100"
"2026-02-03","PrintServer-Daily","Success","111","10","100"
"2026-02-02","SIS-Database-Daily","Success","102","113","100"
"2026-02-02","FileServer-Staff-Daily","Warning","73","90","93"
"2026-02-02","FileServer-Students-Daily","Success","93","141","100"
"2026-02-02","DomainControllers-Daily","Warning","32","24","97"
"2026-02-02","Exchange-Online-Archive","Success","114","70","100"
"2026-02-02","Canvas-LMS-Backup","Success","49","34","100"
"2026-02-02","Hyper-V-Hosts-Daily","Success","105","97","100"
"2026-02-02","PrintServer-Daily","Success","69","14","100"
"2026-02-01","SIS-Database-Daily","Success","106","127","100"
"2026-02-01","FileServer-Staff-Daily","Success","26","92","100"
"2026-02-01","FileServer-Students-Daily","Success","29","158","100"
"2026-02-01","DomainControllers-Daily","Success","119","17","100"
"2026-02-01","Exchange-Online-Archive","Success","45","59","100"
"2026-02-01","Canvas-LMS-Backup","Success","23","40","100"
"2026-02-01","Hyper-V-Hosts-Daily","Success","39","91","100"
"2026-02-01","PrintServer-Daily","Warning","106","27","92"
"2026-01-31","SIS-Database-Daily","Success","61","123","100"
"2026-01-31","FileServer-Staff-Daily","Success","20","94","100"
"2026-01-31","FileServer-Students-Daily","Success","102","151","100"
"2026-01-31","DomainControllers-Daily","Success","104","16","100"
"2026-01-31","Exchange-Online-Archive","Success","96","71","100"
"2026-01-31","Canvas-LMS-Backup","Success","29","25","100"
"2026-01-31","Hyper-V-Hosts-Daily","Success","69","94","100"
"2026-01-31","PrintServer-Daily","Success","52","27","100"
"2026-01-30","SIS-Database-Daily","Success","75","123","100"
"2026-01-30","FileServer-Staff-Daily","Success","101","88","100"
"2026-01-30","FileServer-Students-Daily","Success","28","152","100"
"2026-01-30","DomainControllers-Daily","Warning","27","12","97"
"2026-01-30","Exchange-Online-Archive","Success","102","60","100"
"2026-01-30","Canvas-LMS-Backup","Success","59","37","100"
"2026-01-30","Hyper-V-Hosts-Daily","Success","41","103","100"
"2026-01-30","PrintServer-Daily","Success","117","25","100"
"2026-01-29","SIS-Database-Daily","Success","102","119","100"
"2026-01-29","FileServer-Staff-Daily","Success","93","90","100"
"2026-01-29","FileServer-Students-Daily","Success","81","143","100"
"2026-01-29","DomainControllers-Daily","Success","64","13","100"
"2026-01-29","Exchange-Online-Archive","Success","95","57","100"
"2026-01-29","Canvas-LMS-Backup","Success","87","38","100"
"2026-01-29","Hyper-V-Hosts-Daily","Success","64","91","100"
"2026-01-29","PrintServer-Daily","Success","60","17","100"
"2026-01-28","SIS-Database-Daily","Success","75","110","100"
"2026-01-28","FileServer-Staff-Daily","Success","81","87","100"
"2026-01-28","FileServer-Students-Daily","Success","110","155","100"
"2026-01-28","DomainControllers-Daily","Success","36","25","100"
"2026-01-28","Exchange-Online-Archive","Success","69","70","100"
"2026-01-28","Canvas-LMS-Backup","Success","99","33","100"
"2026-01-28","Hyper-V-Hosts-Daily","Success","29","88","100"
"2026-01-28","PrintServer-Daily","Success","117","24","100"
"2026-01-27","SIS-Database-Daily","Success","60","122","100"
"2026-01-27","FileServer-Staff-Daily","Success","15","88","100"
"2026-01-27","FileServer-Students-Daily","Success","15","150","100"
"2026-01-27","DomainControllers-Daily","Success","51","15","100"
"2026-01-27","Exchange-Online-Archive","Success","73","71","100"
"2026-01-27","Canvas-LMS-Backup","Success","49","30","100"
"2026-01-27","Hyper-V-Hosts-Daily","Success","114","91","100"
"2026-01-27","PrintServer-Daily","Success","16","29","100"
"2026-01-26","SIS-Database-Daily","Success","99","116","100"
"2026-01-26","FileServer-Staff-Daily","Success","73","79","100"
"2026-01-26","FileServer-Students-Daily","Success","15","154","100"
"2026-01-26","DomainControllers-Daily","Success","21","23","100"
"2026-01-26","Exchange-Online-Archive","Success","101","66","100"
"2026-01-26","Canvas-LMS-Backup","Success","71","42","100"
"2026-01-26","Hyper-V-Hosts-Daily","Success","25","103","100"
"2026-01-26","PrintServer-Daily","Success","109","14","100"
"2026-01-25","SIS-Database-Daily","Warning","50","119","93"
"2026-01-25","FileServer-Staff-Daily","Success","27","80","100"
"2026-01-25","FileServer-Students-Daily","Success","77","158","100"
"2026-01-25","DomainControllers-Daily","Success","36","19","100"
"2026-01-25","Exchange-Online-Archive","Success","60","69","100"
"2026-01-25","Canvas-LMS-Backup","Success","93","36","100"
"2026-01-25","Hyper-V-Hosts-Daily","Success","99","97","100"
"2026-01-25","PrintServer-Daily","Success","86","27","100"
"2026-01-24","SIS-Database-Daily","Success","74","112","100"
"2026-01-24","FileServer-Staff-Daily","Success","26","79","100"
"2026-01-24","FileServer-Students-Daily","Success","66","140","100"
"2026-01-24","DomainControllers-Daily","Success","51","11","100"
"2026-01-24","Exchange-Online-Archive","Success","39","68","100"
"2026-01-24","Canvas-LMS-Backup","Success","67","41","100"
"2026-01-24","Hyper-V-Hosts-Daily","Success","30","99","100"
"2026-01-24","PrintServer-Daily","Success","114","10","100"
"2026-01-23","SIS-Database-Daily","Success","32","112","100"
"2026-01-23","FileServer-Staff-Daily","Success","47","93","100"
"2026-01-23","FileServer-Students-Daily","Success","81","143","100"
"2026-01-23","DomainControllers-Daily","Success","60","28","100"
"2026-01-23","Exchange-Online-Archive","Success","111","61","100"
"2026-01-23","Canvas-LMS-Backup","Success","46","28","100"
"2026-01-23","Hyper-V-Hosts-Daily","Success","34","93","100"
"2026-01-23","PrintServer-Daily","Success","96","21","100"
"2026-01-22","SIS-Database-Daily","Success","74","111","100"
"2026-01-22","FileServer-Staff-Daily","Success","79","87","100"
"2026-01-22","FileServer-Students-Daily","Success","84","145","100"
"2026-01-22","DomainControllers-Daily","Success","100","17","100"
"2026-01-22","Exchange-Online-Archive","Success","40","71","100"
"2026-01-22","Canvas-LMS-Backup","Success","81","31","100"
"2026-01-22","Hyper-V-Hosts-Daily","Success","101","103","100"
"2026-01-22","PrintServer-Daily","Success","93","21","100"
"2026-01-21","SIS-Database-Daily","Success","98","118","100"
"2026-01-21","FileServer-Staff-Daily","Success","69","86","100"
"2026-01-21","FileServer-Students-Daily","Success","43","147","100"
"2026-01-21","DomainControllers-Daily","Success","49","25","100"
"2026-01-21","Exchange-Online-Archive","Success","45","69","100"
"2026-01-21","Canvas-LMS-Backup","Success","41","44","100"
"2026-01-21","Hyper-V-Hosts-Daily","Success","101","92","100"
"2026-01-21","PrintServer-Daily","Success","16","24","100"
