"Date","TotalUsers","ActiveUsers","DisabledUsers","PasswordExpiring7Days","PasswordExpiring30Days","StaleAccounts90Days","LockedAccounts","ComputerObjects","StaleComputers90Days"
"2025-12-21","38531","37578","856","579","2632","163","11","23046","139"
"2025-12-22","38505","37583","914","786","2908","182","11","23037","113"
"2025-12-23","38344","37690","892","772","2592","324","31","23038","105"
"2025-12-24","38442","37707","852","587","2472","298","2","23070","144"
"2025-12-25","38432","37739","853","767","2511","294","7","22926","187"
"2025-12-26","38562","37608","887","722","2975","292","3","22935","106"
"2025-12-27","38655","37559","931","766","2129","263","16","23060","150"
"2025-12-28","38685","37684","940","676","2233","177","19","23077","142"
"2025-12-29","38676","37705","885","505","2735","190","21","23036","200"
"2025-12-30","38586","37633","873","734","2422","189","27","23094","174"
"2025-12-31","38303","37655","933","634","2521","249","35","22930","100"
"2026-01-01","38432","37563","866","579","2145","198","7","22969","125"
"2026-01-02","38459","37637","900","677","2155","231","31","22900","198"
"2026-01-03","38580","37742","935","637","2418","307","23","23019","215"
"2026-01-04","38591","37640","859","504","2644","212","15","23088","108"
"2026-01-05","38629","37524","900","776","2368","349","38","22940","122"
"2026-01-06","38480","37451","855","797","2287","160","16","22924","206"
"2026-01-07","38614","37516","850","552","2116","181","24","22900","131"
"2026-01-08","38524","37706","948","573","2699","298","31","23029","185"
"2026-01-09","38654","37673","884","565","2073","169","26","23010","128"
"2026-01-10","38638","37471","925","547","2825","265","6","22994","171"
"2026-01-11","38421","37565","947","685","2998","300","25","22961","188"
"2026-01-12","38630","37575","946","575","2453","206","22","23084","106"
"2026-01-13","38511","37685","873","648","2800","333","13","23005","167"
"2026-01-14","38469","37502","861","560","2842","279","26","23068","122"
"2026-01-15","38688","37607","885","528","2228","290","1","22907","103"
"2026-01-16","38519","37528","946","508","2591","195","5","23078","191"
"2026-01-17","38536","37484","862","521","2694","186","6","23095","157"
"2026-01-18","38458","37543","860","626","2320","343","8","22996","209"
"2026-01-19","38412","37520","883","511","2925","191","0","22965","133"
"2026-01-20","38427","37543","907","751","2370","216","32","23098","113"
"2026-01-21","38430","37733","869","737","2767","155","8","22981","217"
"2026-01-22","38453","37632","883","532","2805","206","20","23047","144"
"2026-01-23","38453","37480","887","758","2570","264","8","22957","151"
"2026-01-24","38669","37740","898","650","2002","177","14","22926","148"
"2026-01-25","38400","37501","927","716","2969","218","22","23094","171"
"2026-01-26","38567","37578","920","598","2913","339","27","23010","122"
"2026-01-27","38595","37538","851","584","2837","253","11","22992","118"
"2026-01-28","38551","37669","878","621","2321","286","28","22950","165"
"2026-01-29","38389","37733","894","546","2444","293","31","22939","138"
"2026-01-30","38379","37664","918","738","2504","292","18","22907","169"
"2026-01-31","38607","37608","874","515","2184","257","4","22900","111"
"2026-02-01","38362","37590","923","670","2879","254","22","23056","101"
"2026-02-02","38557","37547","934","787","2519","252","30","23070","160"
"2026-02-03","38586","37728","895","702","2270","348","17","23095","104"
"2026-02-04","38654","37477","937","555","2222","183","21","22948","220"
"2026-02-05","38583","37580","873","793","2768","188","12","23091","158"
"2026-02-06","38437","37604","949","678","2192","166","36","22948","211"
"2026-02-07","38504","37473","890","641","2551","303","36","23027","165"
"2026-02-08","38454","37672","857","767","2208","233","0","22954","159"
"2026-02-09","38312","37466","885","612","2082","304","27","22911","130"
"2026-02-10","38691","37486","906","653","2902","166","20","23063","126"
"2026-02-11","38369","37696","913","628","2447","330","29","23053","153"
"2026-02-12","38371","37498","863","535","2069","184","26","23057","164"
"2026-02-13","38545","37517","903","780","2542","315","20","23096","118"
"2026-02-14","38609","37529","872","592","2274","182","6","22960","103"
"2026-02-15","38326","37669","935","654","2108","305","0","22938","184"
"2026-02-16","38687","37719","891","580","2293","259","13","22912","206"
"2026-02-17","38580","37452","934","785","2119","330","20","23073","171"
"2026-02-18","38566","37617","882","750","2023","250","32","23028","129"
