"DeviceID","DeviceType","Model","Location","HealthStatus","UptimeDays","FirmwareVersion","LastSeen","CPUUtilization","MemoryUtilization","PortUtilization"
"NET-0015","Distribution Switch","Cisco Catalyst 9300","North Star Elem","Healthy","339","17.7.1","2026-02-19 04:52:41","36","43","43"
"NET-0016","Distribution Switch","Cisco Catalyst 9300","Transportation Center","Healthy","303","17.8.1","2026-02-18 22:52:41","51","24","46"
"NET-0017","Distribution Switch","Cisco Catalyst 9300","Ridgeview Elem","Healthy","265","17.7.2","2026-02-19 03:52:41","36","47","81"
"NET-0018","Distribution Switch","Cisco Catalyst 9300","Transportation Center","Healthy","302","17.7.2","2026-02-19 10:52:41","72","76","56"
"NET-0019","Distribution Switch","Cisco Catalyst 9300","Central HS","Healthy","256","17.7.1","2026-02-19 14:52:41","54","24","47"
"NET-0020","Distribution Switch","Cisco Catalyst 9300","Willis Lane Elem","Healthy","213","17.6.1","2026-02-19 02:52:41","20","66","71"
"NET-0021","Distribution Switch","Cisco Catalyst 9300","Administrative Center","Healthy","185","17.6.3","2026-02-19 10:52:41","24","59","68"
"NET-0022","Distribution Switch","Cisco Catalyst 9300","Ridgeview Elem","Healthy","21","17.7.4","2026-02-19 07:52:41","18","69","71"
"NET-0023","Access Switch","Cisco Catalyst 9200","Transportation Center","Healthy","302","17.6.3","2026-02-19 07:52:41","39","49","56"
"NET-0024","Access Switch","Cisco Catalyst 9200","Willis Lane Elem","Healthy","165","17.8.3","2026-02-19 11:52:41","49","73","50"
"NET-0025","Access Switch","Cisco Catalyst 9200","Liberty Elem","Healthy","328","17.6.4","2026-02-19 03:52:41","48","43","80"
"NET-0026","Access Switch","Cisco Catalyst 9200","Ridgeview Elem","Healthy","5","17.7.1","2026-02-19 04:52:41","41","39","68"
"NET-0027","Access Switch","Cisco Catalyst 9200","Shady Grove Elem","Healthy","286","17.6.1","2026-02-18 17:52:41","29","30","82"
"NET-0028","Access Switch","Cisco Catalyst 9200","Transportation Center","Healthy","244","17.8.1","2026-02-19 06:52:41","61","48","67"
"NET-0029","Access Switch","Cisco Catalyst 9200","Florence Elem","Warning","345","17.6.2","2026-02-18 17:52:41","11","56","82"
"NET-0030","Access Switch","Cisco Catalyst 9200","Florence Elem","Warning","34","17.6.1","2026-02-19 03:52:41","29","47","71"
"NET-0031","Access Switch","Cisco Catalyst 9200","Florence Elem","Healthy","231","17.8.1","2026-02-19 16:52:41","56","23","50"
"NET-0032","Access Switch","Cisco Catalyst 9200","Trinity Springs MS","Healthy","328","17.8.4","2026-02-19 04:52:41","68","33","86"
"NET-0033","Access Switch","Cisco Catalyst 9200","Ridgeview Elem","Healthy","350","17.6.2","2026-02-18 20:52:41","72","35","54"
"NET-0034","Access Switch","Cisco Catalyst 9200","Parkwood Elem","Healthy","339","17.8.4","2026-02-19 03:52:41","37","69","77"
"NET-0035","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","333","17.8.4","2026-02-18 20:52:41","42","73","65"
"NET-0036","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","6","17.6.4","2026-02-19 00:52:41","28","74","65"
"NET-0037","Access Switch","Cisco Catalyst 9200","Willowbrook Elem","Healthy","90","17.6.1","2026-02-19 09:52:41","21","72","85"
"NET-0038","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","158","17.8.1","2026-02-19 04:52:41","22","75","40"
"NET-0039","Access Switch","Cisco Catalyst 9200","Liberty Elem","Healthy","360","17.8.3","2026-02-19 14:52:41","39","57","53"
"NET-0040","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","81","17.6.3","2026-02-18 20:52:41","42","35","54"
"NET-0041","Access Switch","Cisco Catalyst 9200","Keller HS","Healthy","124","17.7.4","2026-02-18 22:52:41","71","55","59"
"NET-0042","Access Switch","Cisco Catalyst 9200","Parkview Elem","Healthy","214","17.8.4","2026-02-19 07:52:41","64","46","71"
"NET-0043","Access Switch","Cisco Catalyst 9200","Liberty Elem","Healthy","283","17.6.3","2026-02-19 11:52:41","30","45","64"
"NET-0044","Access Switch","Cisco Catalyst 9200","Administrative Center","Healthy","77","17.6.4","2026-02-18 21:52:41","64","43","47"
"NET-0045","Access Switch","Cisco Catalyst 9200","Parkwood Elem","Healthy","252","17.8.3","2026-02-19 16:52:41","60","79","43"
"NET-0046","Access Switch","Cisco Catalyst 9200","Timber Creek HS","Healthy","305","17.6.2","2026-02-19 06:52:41","31","38","58"
"NET-0047","Access Switch","Cisco Catalyst 9200","Administrative Center","Healthy","265","17.7.3","2026-02-19 07:52:41","36","42","65"
"NET-0048","Access Switch","Cisco Catalyst 9200","Basswood Elem","Healthy","339","17.6.1","2026-02-19 03:52:41","59","46","43"
"NET-0049","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","92","17.8.3","2026-02-19 00:52:41","11","20","81"
"NET-0050","Access Switch","Cisco Catalyst 9200","North Star Elem","Healthy","355","17.6.4","2026-02-19 13:52:41","58","39","61"
"NET-0051","Access Switch","Cisco Catalyst 9200","Keller HS","Warning","166","17.6.3","2026-02-19 03:52:41","64","26","50"
"NET-0052","Access Switch","Cisco Catalyst 9200","Parkview Elem","Healthy","281","17.7.3","2026-02-18 21:52:41","39","26","70"
"NET-0053","Access Switch","Cisco Catalyst 9200","Timber Creek HS","Healthy","215","17.8.2","2026-02-18 20:52:41","35","44","88"
"NET-0054","Access Switch","Cisco Catalyst 9200","Willowbrook Elem","Healthy","65","17.8.2","2026-02-19 15:52:41","60","53","54"
"NET-0055","Access Switch","Cisco Catalyst 9200","Parkview Elem","Healthy","103","17.6.2","2026-02-19 09:52:41","35","52","85"
"NET-0056","Access Switch","Cisco Catalyst 9200","Timberview MS","Healthy","322","17.7.2","2026-02-18 23:52:41","15","62","71"
"NET-0057","Access Switch","Cisco Catalyst 9200","Transportation Center","Healthy","91","17.8.1","2026-02-18 22:52:41","19","20","78"
"NET-0058","Access Switch","Cisco Catalyst 9200","Indian Springs MS","Healthy","38","17.7.2","2026-02-19 15:52:41","25","48","77"
"NET-0059","Access Switch","Cisco Catalyst 9200","Administrative Center","Healthy","209","17.7.3","2026-02-19 05:52:41","60","22","83"
"NET-0060","Access Switch","Cisco Catalyst 9200","Trinity Springs MS","Healthy","318","17.7.3","2026-02-19 14:52:41","25","24","83"
"NET-0061","Access Switch","Cisco Catalyst 9200","Parkview Elem","Healthy","19","17.8.1","2026-02-19 06:52:41","67","78","61"
"NET-0062","Access Switch","Cisco Catalyst 9200","Keller HS","Healthy","212","17.6.3","2026-02-18 17:52:41","43","57","64"
"NET-0063","Access Switch","Cisco Catalyst 9200","Hillwood MS","Healthy","149","17.8.1","2026-02-19 02:52:41","69","77","52"
"NET-0064","Access Switch","Cisco Catalyst 9200","Trinity Springs MS","Warning","50","17.7.3","2026-02-18 23:52:41","12","47","79"
"NET-0065","Access Switch","Cisco Catalyst 9200","Hillwood MS","Healthy","217","17.7.4","2026-02-19 15:52:41","57","47","58"
"NET-0066","Access Switch","Cisco Catalyst 9200","Trinity Springs MS","Healthy","359","17.6.1","2026-02-19 03:52:41","12","31","79"
"NET-0067","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","65","17.6.1","2026-02-18 22:52:41","62","65","58"
"NET-0068","Access Switch","Cisco Catalyst 9200","Bear Creek MS","Healthy","80","17.6.3","2026-02-19 08:52:41","45","38","69"
"NET-0069","Access Switch","Cisco Catalyst 9200","Parkview Elem","Healthy","255","17.7.1","2026-02-18 19:52:41","36","47","77"
"NET-0070","Access Switch","Cisco Catalyst 9200","Bear Creek MS","Healthy","172","17.6.2","2026-02-19 09:52:41","19","72","40"
"NET-0071","Access Switch","Cisco Catalyst 9200","Timberview MS","Healthy","251","17.6.1","2026-02-19 14:52:41","69","61","50"
"NET-0072","Access Switch","Cisco Catalyst 9200","North Star Elem","Healthy","352","17.6.3","2026-02-18 21:52:41","73","61","78"
"NET-0073","Access Switch","Cisco Catalyst 9200","Indian Springs MS","Healthy","171","17.8.4","2026-02-19 11:52:41","58","62","89"
"NET-0074","Access Switch","Cisco Catalyst 9200","Parkview Elem","Healthy","161","17.7.3","2026-02-19 10:52:41","40","47","77"
"NET-0075","Access Switch","Cisco Catalyst 9200","Parkview Elem","Healthy","172","17.8.2","2026-02-18 22:52:41","56","23","89"
"NET-0076","Access Switch","Cisco Catalyst 9200","Timberview MS","Healthy","288","17.7.2","2026-02-18 21:52:41","71","72","81"
"NET-0077","Access Switch","Cisco Catalyst 9200","Florence Elem","Healthy","225","17.8.3","2026-02-18 22:52:41","29","34","50"
"NET-0078","Access Switch","Cisco Catalyst 9200","Administrative Center","Healthy","273","17.8.3","2026-02-18 20:52:41","72","65","67"
"NET-0079","Access Switch","Cisco Catalyst 9200","Keller HS","Healthy","277","17.7.4","2026-02-18 21:52:41","22","42","80"
"NET-0080","Access Switch","Cisco Catalyst 9200","Liberty Elem","Healthy","84","17.6.3","2026-02-18 18:52:41","14","71","79"
"NET-0081","Access Switch","Cisco Catalyst 9200","Indian Springs MS","Healthy","344","17.6.1","2026-02-18 23:52:41","52","47","68"
"NET-0082","Access Switch","Cisco Catalyst 9200","Transportation Center","Warning","211","17.8.4","2026-02-19 15:52:41","47","72","41"
"NET-0083","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","113","17.6.1","2026-02-19 10:52:41","22","45","86"
"NET-0084","Access Switch","Cisco Catalyst 9200","Indian Springs MS","Healthy","61","17.8.4","2026-02-18 18:52:41","35","28","66"
"NET-0085","Access Switch","Cisco Catalyst 9200","Timberview MS","Healthy","302","17.7.3","2026-02-19 07:52:41","60","21","62"
"NET-0086","Access Switch","Cisco Catalyst 9200","North Star Elem","Healthy","31","17.7.3","2026-02-18 18:52:41","64","53","46"
"NET-0087","Access Switch","Cisco Catalyst 9200","Florence Elem","Healthy","131","17.6.3","2026-02-18 19:52:41","12","25","62"
"NET-0088","Access Switch","Cisco Catalyst 9200","Administrative Center","Healthy","122","17.6.1","2026-02-19 01:52:41","25","67","62"
"NET-0089","Access Switch","Cisco Catalyst 9200","Shady Grove Elem","Healthy","70","17.6.1","2026-02-19 12:52:41","17","20","45"
"NET-0090","Access Switch","Cisco Catalyst 9200","Timber Creek HS","Healthy","160","17.6.1","2026-02-19 14:52:41","73","56","80"
"NET-0091","Access Switch","Cisco Catalyst 9200","Trinity Springs MS","Healthy","278","17.6.2","2026-02-19 12:52:41","44","46","59"
"NET-0092","Access Switch","Cisco Catalyst 9200","Keller HS","Healthy","32","17.7.2","2026-02-18 17:52:41","38","79","55"
"NET-0093","Access Switch","Cisco Catalyst 9200","Indian Springs MS","Warning","187","17.7.4","2026-02-18 17:52:41","43","73","59"
"NET-0094","Access Switch","Cisco Catalyst 9200","Keller HS","Healthy","96","17.7.4","2026-02-19 08:52:41","42","63","74"
"NET-0095","Access Switch","Cisco Catalyst 9200","Transportation Center","Healthy","125","17.6.4","2026-02-19 09:52:41","19","21","83"
"NET-0096","Access Switch","Cisco Catalyst 9200","Parkview Elem","Critical","228","17.7.2","2026-02-19 15:52:41","44","75","43"
"NET-0097","Access Switch","Cisco Catalyst 9200","Trinity Springs MS","Warning","125","17.8.3","2026-02-19 11:52:41","32","39","44"
"NET-0098","Access Switch","Cisco Catalyst 9200","Keller HS","Healthy","10","17.8.3","2026-02-19 01:52:41","29","56","87"
"NET-0099","Access Switch","Cisco Catalyst 9200","Parkview Elem","Healthy","260","17.7.2","2026-02-18 21:52:41","55","66","63"
"NET-0100","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","240","17.8.2","2026-02-19 11:52:41","14","65","75"
"NET-0101","Access Switch","Cisco Catalyst 9200","Administrative Center","Healthy","147","17.7.4","2026-02-18 17:52:41","14","73","71"
"NET-0102","Access Switch","Cisco Catalyst 9200","North Star Elem","Healthy","329","17.7.3","2026-02-19 13:52:41","72","60","87"
"NET-0103","Access Switch","Cisco Catalyst 9200","Parkview Elem","Healthy","15","17.7.4","2026-02-18 23:52:41","59","76","56"
"NET-0104","Access Switch","Cisco Catalyst 9200","Indian Springs MS","Healthy","40","17.8.2","2026-02-19 06:52:41","16","52","68"
"NET-0105","Access Switch","Cisco Catalyst 9200","Willis Lane Elem","Healthy","298","17.6.3","2026-02-19 06:52:41","51","35","48"
"NET-0106","Access Switch","Cisco Catalyst 9200","Timber Creek HS","Warning","72","17.8.3","2026-02-18 18:52:41","57","64","52"
"NET-0107","Access Switch","Cisco Catalyst 9200","Timber Creek HS","Healthy","228","17.6.3","2026-02-19 10:52:41","36","39","53"
"NET-0108","Access Switch","Cisco Catalyst 9200","North Star Elem","Warning","360","17.6.2","2026-02-19 11:52:41","26","60","64"
"NET-0109","Access Switch","Cisco Catalyst 9200","North Star Elem","Healthy","244","17.8.3","2026-02-19 04:52:41","18","78","47"
"NET-0110","Access Switch","Cisco Catalyst 9200","Administrative Center","Healthy","236","17.7.2","2026-02-19 04:52:41","47","66","68"
"NET-0111","Access Switch","Cisco Catalyst 9200","Willowbrook Elem","Healthy","110","17.6.3","2026-02-18 22:52:41","53","68","71"
"NET-0112","Access Switch","Cisco Catalyst 9200","Ridgeview Elem","Healthy","279","17.6.3","2026-02-18 21:52:41","27","76","54"
"NET-0113","Access Switch","Cisco Catalyst 9200","Stadium Complex","Healthy","316","17.7.4","2026-02-19 13:52:41","59","23","72"
"NET-0114","Access Switch","Cisco Catalyst 9200","Stadium Complex","Healthy","231","17.7.4","2026-02-19 14:52:41","71","30","48"
"NET-0115","Access Switch","Cisco Catalyst 9200","Central HS","Warning","206","17.7.3","2026-02-19 12:52:41","26","61","42"
"NET-0116","Access Switch","Cisco Catalyst 9200","Willowbrook Elem","Healthy","133","17.6.4","2026-02-19 11:52:41","59","46","47"
"NET-0117","Access Switch","Cisco Catalyst 9200","Willis Lane Elem","Warning","221","17.6.3","2026-02-18 20:52:41","59","70","71"
"NET-0118","Access Switch","Cisco Catalyst 9200","Willowbrook Elem","Healthy","93","17.7.1","2026-02-19 08:52:41","33","61","41"
"NET-0119","Access Switch","Cisco Catalyst 9200","Ridgeview Elem","Healthy","183","17.6.2","2026-02-19 08:52:41","51","48","63"
"NET-0120","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","66","17.8.3","2026-02-19 14:52:41","41","79","56"
"NET-0121","Access Switch","Cisco Catalyst 9200","Parkwood Elem","Warning","57","17.6.1","2026-02-19 01:52:41","50","63","80"
"NET-0122","Access Switch","Cisco Catalyst 9200","Timber Creek HS","Healthy","155","17.7.2","2026-02-18 20:52:41","31","60","80"
"NET-0123","Access Switch","Cisco Catalyst 9200","Stadium Complex","Healthy","316","17.8.4","2026-02-19 12:52:41","32","47","43"
"NET-0124","Access Switch","Cisco Catalyst 9200","Indian Springs MS","Healthy","124","17.7.4","2026-02-19 14:52:41","19","73","79"
"NET-0125","Access Switch","Cisco Catalyst 9200","Shady Grove Elem","Healthy","6","17.8.4","2026-02-18 20:52:41","42","66","86"
"NET-0126","Access Switch","Cisco Catalyst 9200","Bear Creek MS","Healthy","330","17.7.2","2026-02-19 09:52:41","23","51","89"
"NET-0127","Access Switch","Cisco Catalyst 9200","Florence Elem","Healthy","233","17.6.2","2026-02-19 11:52:41","53","76","62"
"NET-0128","Access Switch","Cisco Catalyst 9200","Hillwood MS","Warning","116","17.8.3","2026-02-18 23:52:41","14","60","78"
"NET-0129","Access Switch","Cisco Catalyst 9200","Bear Creek MS","Healthy","42","17.8.3","2026-02-19 08:52:41","65","54","84"
"NET-0130","Access Switch","Cisco Catalyst 9200","Shady Grove Elem","Warning","341","17.7.1","2026-02-19 15:52:41","73","25","61"
"NET-0131","Access Switch","Cisco Catalyst 9200","Parkview Elem","Healthy","12","17.6.3","2026-02-19 15:52:41","21","73","44"
"NET-0132","Access Switch","Cisco Catalyst 9200","Timberview MS","Healthy","90","17.8.2","2026-02-19 06:52:41","17","30","72"
"NET-0133","Access Switch","Cisco Catalyst 9200","Hillwood MS","Healthy","37","17.6.1","2026-02-19 12:52:41","27","39","78"
"NET-0134","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","170","17.7.2","2026-02-19 09:52:41","56","38","76"
"NET-0135","Access Switch","Cisco Catalyst 9200","Shady Grove Elem","Healthy","248","17.6.2","2026-02-19 02:52:41","32","48","73"
"NET-0136","Access Switch","Cisco Catalyst 9200","Trinity Springs MS","Healthy","281","17.8.2","2026-02-18 17:52:41","44","75","81"
"NET-0137","Access Switch","Cisco Catalyst 9200","Florence Elem","Healthy","27","17.8.2","2026-02-19 15:52:41","66","37","49"
"NET-0138","Access Switch","Cisco Catalyst 9200","Timber Creek HS","Healthy","42","17.7.3","2026-02-19 15:52:41","25","26","82"
"NET-0139","Access Switch","Cisco Catalyst 9200","Timber Creek HS","Healthy","317","17.7.2","2026-02-19 13:52:41","54","60","81"
"NET-0140","Access Switch","Cisco Catalyst 9200","Willis Lane Elem","Healthy","47","17.7.3","2026-02-19 05:52:41","38","42","56"
"NET-0141","Access Switch","Cisco Catalyst 9200","Parkview Elem","Healthy","121","17.6.3","2026-02-19 04:52:41","47","67","45"
"NET-0142","Access Switch","Cisco Catalyst 9200","Shady Grove Elem","Healthy","152","17.7.4","2026-02-19 03:52:41","56","75","40"
"NET-0143","Access Switch","Cisco Catalyst 9200","Stadium Complex","Healthy","344","17.6.4","2026-02-19 07:52:41","27","25","83"
"NET-0144","Access Switch","Cisco Catalyst 9200","Timber Creek HS","Warning","122","17.6.4","2026-02-19 08:52:41","32","50","76"
"NET-0145","Access Switch","Cisco Catalyst 9200","Shady Grove Elem","Healthy","131","17.8.4","2026-02-19 00:52:41","39","62","86"
"NET-0146","Access Switch","Cisco Catalyst 9200","Parkwood Elem","Healthy","285","17.7.3","2026-02-19 03:52:41","63","58","79"
"NET-0147","Access Switch","Cisco Catalyst 9200","Parkview Elem","Healthy","327","17.6.3","2026-02-18 22:52:41","35","51","82"
"NET-0148","Access Switch","Cisco Catalyst 9200","Willis Lane Elem","Healthy","37","17.7.1","2026-02-19 01:52:41","46","49","85"
"NET-0149","Access Switch","Cisco Catalyst 9200","Parkwood Elem","Healthy","108","17.6.3","2026-02-18 21:52:41","62","56","51"
"NET-0150","Access Switch","Cisco Catalyst 9200","Timberview MS","Healthy","97","17.6.4","2026-02-19 03:52:41","48","26","67"
"NET-0151","Access Switch","Cisco Catalyst 9200","Transportation Center","Healthy","160","17.7.3","2026-02-19 11:52:41","64","23","73"
"NET-0152","Access Switch","Cisco Catalyst 9200","Transportation Center","Healthy","262","17.6.4","2026-02-19 10:52:41","63","72","44"
"NET-0153","Access Switch","Cisco Catalyst 9200","Transportation Center","Healthy","155","17.6.2","2026-02-19 16:52:41","25","76","56"
"NET-0154","Access Switch","Cisco Catalyst 9200","Timberview MS","Healthy","266","17.8.1","2026-02-19 15:52:41","12","40","66"
"NET-0155","Access Switch","Cisco Catalyst 9200","Stadium Complex","Healthy","214","17.7.4","2026-02-19 09:52:41","42","35","43"
"NET-0156","Access Switch","Cisco Catalyst 9200","Florence Elem","Healthy","96","17.6.2","2026-02-19 01:52:41","47","22","57"
"NET-0157","Access Switch","Cisco Catalyst 9200","Parkwood Elem","Healthy","55","17.6.3","2026-02-19 05:52:41","63","44","48"
"NET-0158","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","290","17.8.1","2026-02-18 22:52:41","25","66","69"
"NET-0159","Access Switch","Cisco Catalyst 9200","Hillwood MS","Healthy","154","17.7.1","2026-02-19 12:52:41","71","57","66"
"NET-0160","Access Switch","Cisco Catalyst 9200","Basswood Elem","Healthy","170","17.8.3","2026-02-19 01:52:41","73","79","71"
"NET-0161","Access Switch","Cisco Catalyst 9200","Timberview MS","Healthy","160","17.6.2","2026-02-19 02:52:41","28","34","86"
"NET-0162","Access Switch","Cisco Catalyst 9200","Administrative Center","Healthy","221","17.7.4","2026-02-19 04:52:41","19","51","87"
"NET-0163","Access Switch","Cisco Catalyst 9200","Timberview MS","Healthy","346","17.6.2","2026-02-19 09:52:41","19","26","49"
"NET-0164","Access Switch","Cisco Catalyst 9200","North Star Elem","Healthy","11","17.8.3","2026-02-19 06:52:41","70","44","73"
"NET-0165","Access Switch","Cisco Catalyst 9200","Indian Springs MS","Critical","65","17.7.3","2026-02-19 03:52:41","56","75","76"
"NET-0166","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","112","17.8.2","2026-02-19 12:52:41","58","64","88"
"NET-0167","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","14","17.7.3","2026-02-19 11:52:41","12","26","70"
"NET-0168","Access Switch","Cisco Catalyst 9200","Bear Creek MS","Healthy","119","17.7.2","2026-02-19 06:52:41","32","34","76"
"NET-0169","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","295","17.6.2","2026-02-18 18:52:41","24","54","49"
"NET-0170","Access Switch","Cisco Catalyst 9200","Transportation Center","Healthy","121","17.8.2","2026-02-19 00:52:41","35","38","70"
"NET-0171","Access Switch","Cisco Catalyst 9200","Trinity Springs MS","Healthy","290","17.8.4","2026-02-19 11:52:41","42","45","71"
"NET-0172","Access Switch","Cisco Catalyst 9200","Keller HS","Healthy","33","17.7.4","2026-02-19 07:52:41","35","79","69"
"NET-0173","Access Switch","Cisco Catalyst 9200","Keller HS","Healthy","359","17.8.4","2026-02-18 17:52:41","69","39","58"
"NET-0174","Access Switch","Cisco Catalyst 9200","North Star Elem","Healthy","61","17.6.2","2026-02-19 03:52:41","20","56","71"
"NET-0175","Access Switch","Cisco Catalyst 9200","Indian Springs MS","Healthy","132","17.7.3","2026-02-19 15:52:41","15","68","82"
"NET-0176","Access Switch","Cisco Catalyst 9200","Ridgeview Elem","Healthy","305","17.7.1","2026-02-19 02:52:41","46","62","74"
"NET-0177","Access Switch","Cisco Catalyst 9200","Indian Springs MS","Healthy","264","17.7.1","2026-02-18 22:52:41","43","76","55"
"NET-0178","Access Switch","Cisco Catalyst 9200","Hillwood MS","Healthy","348","17.7.1","2026-02-19 12:52:41","58","76","62"
"NET-0179","Access Switch","Cisco Catalyst 9200","Trinity Springs MS","Healthy","106","17.7.4","2026-02-19 12:52:41","68","57","42"
"NET-0180","Access Switch","Cisco Catalyst 9200","Foster HS","Warning","29","17.8.2","2026-02-18 18:52:41","28","75","60"
"NET-0181","Access Switch","Cisco Catalyst 9200","Indian Springs MS","Healthy","160","17.7.3","2026-02-18 23:52:41","65","60","70"
"NET-0182","Access Switch","Cisco Catalyst 9200","Transportation Center","Healthy","190","17.7.3","2026-02-19 14:52:41","32","46","41"
"NET-0183","Access Switch","Cisco Catalyst 9200","Foster HS","Healthy","312","17.7.2","2026-02-19 06:52:41","11","55","45"
"NET-0184","Access Switch","Cisco Catalyst 9200","Central HS","Healthy","248","17.8.1","2026-02-19 13:52:41","24","27","47"
"NET-0185","Access Switch","Cisco Catalyst 9200","Stadium Complex","Healthy","289","17.8.2","2026-02-19 07:52:41","61","37","69"
"NET-0186","Access Switch","Cisco Catalyst 9200","Parkwood Elem","Healthy","149","17.7.1","2026-02-18 22:52:41","56","58","76"
"NET-0187","Access Switch","Cisco Catalyst 9200","Trinity Springs MS","Healthy","10","17.6.1","2026-02-18 23:52:41","21","34","67"
"NET-0188","Access Switch","Cisco Catalyst 9200","Florence Elem","Healthy","165","17.8.3","2026-02-19 05:52:41","32","43","40"
"NET-0189","Access Switch","Cisco Catalyst 9200","Indian Springs MS","Healthy","91","17.8.3","2026-02-19 00:52:41","42","26","61"
"NET-0190","Access Switch","Cisco Catalyst 9200","Timber Creek HS","Warning","326","17.6.1","2026-02-18 20:52:41","56","40","40"
"NET-0191","Access Switch","Cisco Catalyst 9200","Administrative Center","Healthy","357","17.7.2","2026-02-19 05:52:41","56","77","47"
"NET-0192","Access Switch","Cisco Catalyst 9200","Willis Lane Elem","Healthy","145","17.8.4","2026-02-19 01:52:41","54","20","85"
"NET-0193","Access Switch","Cisco Catalyst 9200","Keller HS","Healthy","305","17.8.2","2026-02-18 22:52:41","15","60","49"
"NET-0194","Access Switch","Cisco Catalyst 9200","Willowbrook Elem","Healthy","208","17.7.2","2026-02-19 03:52:41","72","24","42"
"NET-0195","Access Switch","Cisco Catalyst 9200","Shady Grove Elem","Healthy","130","17.7.2","2026-02-18 18:52:41","39","47","61"
"NET-0196","Access Switch","Cisco Catalyst 9200","Trinity Springs MS","Healthy","2","17.8.4","2026-02-19 06:52:41","56","60","65"
"NET-0197","Access Switch","Cisco Catalyst 9200","Bear Creek MS","Warning","323","17.8.3","2026-02-19 01:52:41","57","53","86"
"NET-0198","Access Switch","Cisco Catalyst 9200","Trinity Springs MS","Healthy","308","17.6.4","2026-02-18 21:52:41","31","21","42"
"NET-0199","Access Switch","Cisco Catalyst 9200","Timberview MS","Healthy","207","17.8.4","2026-02-18 23:52:41","57","64","56"
"NET-0200","Access Switch","Cisco Catalyst 9200","North Star Elem","Healthy","139","17.7.3","2026-02-19 00:52:41","23","25","54"
"NET-0201","Access Switch","Cisco Catalyst 9200","Willis Lane Elem","Healthy","198","17.8.1","2026-02-19 05:52:41","17","61","61"
"NET-0202","Access Switch","Cisco Catalyst 9200","Hillwood MS","Healthy","297","17.8.2","2026-02-19 11:52:41","36","74","81"
"NET-0203","Access Switch","Cisco Catalyst 9200","Bear Creek MS","Healthy","194","17.7.2","2026-02-18 18:52:41","67","65","51"
"NET-0204","Access Switch","Cisco Catalyst 9200","Willis Lane Elem","Warning","336","17.8.2","2026-02-19 01:52:41","15","60","84"
"NET-0205","Access Switch","Cisco Catalyst 9200","Parkwood Elem","Healthy","247","17.8.4","2026-02-19 02:52:41","68","77","62"
"NET-0206","Access Switch","Cisco Catalyst 9200","Timberview MS","Healthy","16","17.6.3","2026-02-19 00:52:41","40","74","58"
