"Date","ScopeName","Network","Campus","TotalAddresses","AddressesUsed","AddressesAvailable","UtilizationPercent","LeaseRate","ExpiringLeases24h"
"2026-01-20","Staff-VLAN","10.101.0.0/16","All","65534","15728","49806","24","108","90"
"2026-01-20","Admin-VLAN","10.102.0.0/24","Main","254","201","53","79","89","96"
"2026-01-20","IoT-VLAN","10.103.0.0/16","All","65534","22282","43252","34","154","14"
"2026-01-20","Guest-VLAN","10.104.0.0/16","All","65534","7864","57670","12","73","83"
"2026-01-21","Student-VLAN","10.100.0.0/16","All","65534","41286","24248","63","165","49"
"2026-01-21","Staff-VLAN","10.101.0.0/16","All","65534","14417","51117","22","87","80"
"2026-01-21","Admin-VLAN","10.102.0.0/24","Main","254","185","69","73","84","64"
"2026-01-21","IoT-VLAN","10.103.0.0/16","All","65534","24248","41286","37","180","25"
"2026-01-21","Guest-VLAN","10.104.0.0/16","All","65534","6553","58981","10","65","89"
"2026-01-22","Student-VLAN","10.100.0.0/16","All","65534","42597","22937","65","146","56"
"2026-01-22","Staff-VLAN","10.101.0.0/16","All","65534","13762","51772","21","168","68"
"2026-01-22","Admin-VLAN","10.102.0.0/24","Main","254","190","64","75","176","63"
"2026-01-22","IoT-VLAN","10.103.0.0/16","All","65534","19660","45874","30","92","55"
"2026-01-22","Guest-VLAN","10.104.0.0/16","All","65534","9830","55704","15","68","74"
"2026-01-23","Student-VLAN","10.100.0.0/16","All","65534","40631","24903","62","67","28"
"2026-01-23","Staff-VLAN","10.101.0.0/16","All","65534","19005","46529","29","118","88"
"2026-01-23","Admin-VLAN","10.102.0.0/24","Main","254","190","64","75","133","27"
"2026-01-23","IoT-VLAN","10.103.0.0/16","All","65534","20316","45218","31","96","44"
"2026-01-23","Guest-VLAN","10.104.0.0/16","All","65534","6553","58981","10","141","86"
"2026-01-24","Student-VLAN","10.100.0.0/16","All","65534","12779","52755","19.5","94","13"
"2026-01-24","Staff-VLAN","10.101.0.0/16","All","65534","3604","61930","5.5","72","58"
"2026-01-24","Admin-VLAN","10.102.0.0/24","Main","254","55","199","21.5","54","26"
"2026-01-24","IoT-VLAN","10.103.0.0/16","All","65534","8847","56687","13.5","164","72"
"2026-01-24","Guest-VLAN","10.104.0.0/16","All","65534","3604","61930","5.5","187","16"
"2026-01-25","Student-VLAN","10.100.0.0/16","All","65534","6553","58981","10","104","38"
"2026-01-25","Staff-VLAN","10.101.0.0/16","All","65534","3277","62257","5","106","75"
"2026-01-25","Admin-VLAN","10.102.0.0/24","Main","254","48","206","19","198","57"
"2026-01-25","IoT-VLAN","10.103.0.0/16","All","65534","4587","60947","7","75","75"
"2026-01-25","Guest-VLAN","10.104.0.0/16","All","65534","4587","60947","7","111","81"
"2026-01-26","Student-VLAN","10.100.0.0/16","All","65534","40631","24903","62","131","37"
"2026-01-26","Staff-VLAN","10.101.0.0/16","All","65534","13107","52427","20","159","39"
"2026-01-26","Admin-VLAN","10.102.0.0/24","Main","254","188","66","74","138","29"
"2026-01-26","IoT-VLAN","10.103.0.0/16","All","65534","20971","44563","32","85","50"
"2026-01-26","Guest-VLAN","10.104.0.0/16","All","65534","7864","57670","12","65","41"
"2026-01-27","Student-VLAN","10.100.0.0/16","All","65534","44563","20971","68","99","31"
"2026-01-27","Staff-VLAN","10.101.0.0/16","All","65534","15073","50461","23","178","89"
"2026-01-27","Admin-VLAN","10.102.0.0/24","Main","254","183","71","72","88","67"
"2026-01-27","IoT-VLAN","10.103.0.0/16","All","65534","22282","43252","34","162","36"
"2026-01-27","Guest-VLAN","10.104.0.0/16","All","65534","6553","58981","10","114","66"
"2026-01-28","Student-VLAN","10.100.0.0/16","All","65534","45218","20316","69","93","89"
"2026-01-28","Staff-VLAN","10.101.0.0/16","All","65534","19005","46529","29","113","34"
"2026-01-28","Admin-VLAN","10.102.0.0/24","Main","254","180","74","71","106","37"
"2026-01-28","IoT-VLAN","10.103.0.0/16","All","65534","22937","42597","35","76","11"
"2026-01-28","Guest-VLAN","10.104.0.0/16","All","65534","12451","53083","19","86","64"
"2026-01-29","Student-VLAN","10.100.0.0/16","All","65534","40631","24903","62","102","55"
"2026-01-29","Staff-VLAN","10.101.0.0/16","All","65534","16384","49150","25","130","79"
"2026-01-29","Admin-VLAN","10.102.0.0/24","Main","254","178","76","70","97","81"
"2026-01-29","IoT-VLAN","10.103.0.0/16","All","65534","20316","45218","31","105","18"
"2026-01-29","Guest-VLAN","10.104.0.0/16","All","65534","10485","55049","16","61","79"
"2026-01-30","Student-VLAN","10.100.0.0/16","All","65534","44563","20971","68","101","21"
"2026-01-30","Staff-VLAN","10.101.0.0/16","All","65534","18350","47184","28","68","13"
"2026-01-30","Admin-VLAN","10.102.0.0/24","Main","254","198","56","78","141","32"
"2026-01-30","IoT-VLAN","10.103.0.0/16","All","65534","19660","45874","30","174","75"
"2026-01-30","Guest-VLAN","10.104.0.0/16","All","65534","12451","53083","19","163","15"
"2026-01-31","Student-VLAN","10.100.0.0/16","All","65534","10813","54721","16.5","97","58"
"2026-01-31","Staff-VLAN","10.101.0.0/16","All","65534","4915","60619","7.5","89","16"
"2026-01-31","Admin-VLAN","10.102.0.0/24","Main","254","52","202","20.5","126","83"
"2026-01-31","IoT-VLAN","10.103.0.0/16","All","65534","6881","58653","10.5","68","62"
"2026-01-31","Guest-VLAN","10.104.0.0/16","All","65534","5570","59964","8.5","190","70"
"2026-02-01","Student-VLAN","10.100.0.0/16","All","65534","9830","55704","15","76","66"
"2026-02-01","Staff-VLAN","10.101.0.0/16","All","65534","4587","60947","7","101","62"
"2026-02-01","Admin-VLAN","10.102.0.0/24","Main","254","36","218","14","118","43"
"2026-02-01","IoT-VLAN","10.103.0.0/16","All","65534","7209","58325","11","117","95"
"2026-02-01","Guest-VLAN","10.104.0.0/16","All","65534","3932","61602","6","122","59"
"2026-02-02","Student-VLAN","10.100.0.0/16","All","65534","43252","22282","66","187","42"
"2026-02-02","Staff-VLAN","10.101.0.0/16","All","65534","13107","52427","20","77","73"
"2026-02-02","Admin-VLAN","10.102.0.0/24","Main","254","196","58","77","90","96"
"2026-02-02","IoT-VLAN","10.103.0.0/16","All","65534","21626","43908","33","144","78"
"2026-02-02","Guest-VLAN","10.104.0.0/16","All","65534","11141","54393","17","135","37"
"2026-02-03","Student-VLAN","10.100.0.0/16","All","65534","40631","24903","62","126","57"
"2026-02-03","Staff-VLAN","10.101.0.0/16","All","65534","17694","47840","27","174","78"
"2026-02-03","Admin-VLAN","10.102.0.0/24","Main","254","180","74","71","153","74"
"2026-02-03","IoT-VLAN","10.103.0.0/16","All","65534","24903","40631","38","198","71"
"2026-02-03","Guest-VLAN","10.104.0.0/16","All","65534","10485","55049","16","100","78"
"2026-02-04","Student-VLAN","10.100.0.0/16","All","65534","39976","25558","61","145","51"
"2026-02-04","Staff-VLAN","10.101.0.0/16","All","65534","17039","48495","26","96","91"
"2026-02-04","Admin-VLAN","10.102.0.0/24","Main","254","188","66","74","133","54"
"2026-02-04","IoT-VLAN","10.103.0.0/16","All","65534","24248","41286","37","79","33"
"2026-02-04","Guest-VLAN","10.104.0.0/16","All","65534","8519","57015","13","112","91"
"2026-02-05","Student-VLAN","10.100.0.0/16","All","65534","39320","26214","60","183","51"
"2026-02-05","Staff-VLAN","10.101.0.0/16","All","65534","18350","47184","28","117","71"
"2026-02-05","Admin-VLAN","10.102.0.0/24","Main","254","185","69","73","175","99"
"2026-02-05","IoT-VLAN","10.103.0.0/16","All","65534","25558","39976","39","153","91"
"2026-02-05","Guest-VLAN","10.104.0.0/16","All","65534","7864","57670","12","92","11"
"2026-02-06","Student-VLAN","10.100.0.0/16","All","65534","43908","21626","67","98","24"
"2026-02-06","Staff-VLAN","10.101.0.0/16","All","65534","14417","51117","22","195","93"
"2026-02-06","Admin-VLAN","10.102.0.0/24","Main","254","188","66","74","141","45"
"2026-02-06","IoT-VLAN","10.103.0.0/16","All","65534","24248","41286","37","186","58"
"2026-02-06","Guest-VLAN","10.104.0.0/16","All","65534","11796","53738","18","78","98"
"2026-02-07","Student-VLAN","10.100.0.0/16","All","65534","10158","55376","15.5","60","69"
"2026-02-07","Staff-VLAN","10.101.0.0/16","All","65534","6226","59308","9.5","102","35"
"2026-02-07","Admin-VLAN","10.102.0.0/24","Main","254","47","207","18.5","131","37"
"2026-02-07","IoT-VLAN","10.103.0.0/16","All","65534","7536","57998","11.5","157","78"
"2026-02-07","Guest-VLAN","10.104.0.0/16","All","65534","3277","62257","5","135","23"
"2026-02-08","Student-VLAN","10.100.0.0/16","All","65534","7209","58325","11","140","31"
"2026-02-08","Staff-VLAN","10.101.0.0/16","All","65534","5898","59636","9","162","88"
"2026-02-08","Admin-VLAN","10.102.0.0/24","Main","254","36","218","14","162","37"
"2026-02-08","IoT-VLAN","10.103.0.0/16","All","65534","3932","61602","6","130","57"
"2026-02-08","Guest-VLAN","10.104.0.0/16","All","65534","3277","62257","5","159","96"
"2026-02-09","Student-VLAN","10.100.0.0/16","All","65534","43252","22282","66","86","39"
"2026-02-09","Staff-VLAN","10.101.0.0/16","All","65534","14417","51117","22","63","71"
"2026-02-09","Admin-VLAN","10.102.0.0/24","Main","254","185","69","73","120","22"
"2026-02-09","IoT-VLAN","10.103.0.0/16","All","65534","24903","40631","38","89","63"
"2026-02-09","Guest-VLAN","10.104.0.0/16","All","65534","8519","57015","13","129","88"
"2026-02-10","Student-VLAN","10.100.0.0/16","All","65534","39976","25558","61","156","27"
"2026-02-10","Staff-VLAN","10.101.0.0/16","All","65534","15073","50461","23","125","12"
"2026-02-10","Admin-VLAN","10.102.0.0/24","Main","254","183","71","72","110","92"
"2026-02-10","IoT-VLAN","10.103.0.0/16","All","65534","21626","43908","33","102","89"
"2026-02-10","Guest-VLAN","10.104.0.0/16","All","65534","6553","58981","10","56","84"
"2026-02-11","Student-VLAN","10.100.0.0/16","All","65534","43252","22282","66","183","76"
"2026-02-11","Staff-VLAN","10.101.0.0/16","All","65534","13762","51772","21","149","49"
"2026-02-11","Admin-VLAN","10.102.0.0/24","Main","254","188","66","74","198","30"
"2026-02-11","IoT-VLAN","10.103.0.0/16","All","65534","21626","43908","33","153","56"
"2026-02-11","Guest-VLAN","10.104.0.0/16","All","65534","12451","53083","19","53","64"
"2026-02-12","Student-VLAN","10.100.0.0/16","All","65534","42597","22937","65","141","51"
"2026-02-12","Staff-VLAN","10.101.0.0/16","All","65534","16384","49150","25","126","88"
"2026-02-12","Admin-VLAN","10.102.0.0/24","Main","254","201","53","79","148","36"
"2026-02-12","IoT-VLAN","10.103.0.0/16","All","65534","20316","45218","31","144","92"
"2026-02-12","Guest-VLAN","10.104.0.0/16","All","65534","12451","53083","19","63","80"
"2026-02-13","Student-VLAN","10.100.0.0/16","All","65534","41286","24248","63","197","40"
"2026-02-13","Staff-VLAN","10.101.0.0/16","All","65534","16384","49150","25","157","58"
"2026-02-13","Admin-VLAN","10.102.0.0/24","Main","254","193","61","76","64","98"
"2026-02-13","IoT-VLAN","10.103.0.0/16","All","65534","20316","45218","31","100","18"
"2026-02-13","Guest-VLAN","10.104.0.0/16","All","65534","8519","57015","13","64","69"
"2026-02-14","Student-VLAN","10.100.0.0/16","All","65534","14090","51444","21.5","183","41"
"2026-02-14","Staff-VLAN","10.101.0.0/16","All","65534","5570","59964","8.5","106","31"
"2026-02-14","Admin-VLAN","10.102.0.0/24","Main","254","62","192","24.5","173","26"
"2026-02-14","IoT-VLAN","10.103.0.0/16","All","65534","4915","60619","7.5","54","72"
"2026-02-14","Guest-VLAN","10.104.0.0/16","All","65534","3277","62257","5","92","55"
