"WeekStartDate","Campus","GradeBand","Capacity","TotalEnrolled","CapacityUtilPct","NewTransfersIn","TransfersOut","ActiveAccountsPct"
"2025-03-06","Willowbrook Elem","Elementary","760","662","87","0","0","98.2"
"2025-03-06","Willis Lane Elem","Elementary","750","675","90","2","0","98.1"
"2025-03-06","Florence Elem","Elementary","740","630","85","3","2","97.9"
"2025-03-06","Basswood Elem","Elementary","730","637","87","1","0","97.9"
"2025-03-06","Parkview Elem","Elementary","720","606","84","2","1","98.5"
"2025-03-06","Liberty Elem","Elementary","710","608","86","0","2","97.1"
"2025-03-06","North Star Elem","Elementary","700","635","91","0","0","97.4"
"2025-03-06","Ridgeview Elem","Elementary","690","599","87","3","0","98.6"
"2025-03-06","Hidden Lakes Elem","Elementary","680","575","85","1","0","97.6"
"2025-03-06","Bluebonnet Elem","Elementary","670","571","85","2","0","99.6"
"2025-03-13","Keller HS","High School","2800","2473","88","1","1","97.9"
"2025-03-13","Timber Creek HS","High School","2700","2350","87","0","0","98.9"
"2025-03-13","Central HS","High School","2600","2265","87","3","0","98.7"
"2025-03-13","Foster HS","High School","2500","2183","87","2","2","99"
"2025-03-13","Indian Springs MS","Middle","1200","1035","86","0","1","99.4"
"2025-03-13","Hillwood MS","Middle","1150","1038","90","1","1","98"
"2025-03-13","Trinity Springs MS","Middle","1100","966","88","2","0","98.6"
"2025-03-13","Bear Creek MS","Middle","1050","910","87","0","2","99.2"
"2025-03-13","Timberview MS","Middle","1000","886","89","2","1","99.6"
"2025-03-13","Ridgeview MS","Middle","980","888","91","3","0","97.8"
"2025-03-13","Shady Grove Elem","Elementary","800","705","88","4","2","99"
"2025-03-13","Parkwood Elem","Elementary","780","686","88","3","0","97.8"
"2025-03-13","Willowbrook Elem","Elementary","760","639","84","4","2","98.8"
"2025-03-13","Willis Lane Elem","Elementary","750","665","89","1","1","98.4"
"2025-03-13","Florence Elem","Elementary","740","680","92","0","2","97.5"
"2025-03-13","Basswood Elem","Elementary","730","670","92","3","1","100"
"2025-03-13","Parkview Elem","Elementary","720","626","87","4","0","98.3"
"2025-03-13","Liberty Elem","Elementary","710","645","91","4","0","98.9"
"2025-03-13","North Star Elem","Elementary","700","617","88","4","2","98.6"
"2025-03-13","Ridgeview Elem","Elementary","690","593","86","3","1","97"
"2025-03-13","Hidden Lakes Elem","Elementary","680","605","89","1","2","99.7"
"2025-03-13","Bluebonnet Elem","Elementary","670","565","84","1","1","98.4"
"2025-03-20","Keller HS","High School","2800","2492","89","0","1","99.9"
"2025-03-20","Timber Creek HS","High School","2700","2349","87","1","1","98.3"
"2025-03-20","Central HS","High School","2600","2274","88","1","1","97.3"
"2025-03-20","Foster HS","High School","2500","2195","88","1","0","98.4"
"2025-03-20","Indian Springs MS","Middle","1200","1027","86","4","1","98.7"
"2025-03-20","Hillwood MS","Middle","1150","1019","89","3","0","97.9"
"2025-03-20","Trinity Springs MS","Middle","1100","977","89","3","1","99"
"2025-03-20","Bear Creek MS","Middle","1050","907","86","1","2","97.1"
"2025-03-20","Timberview MS","Middle","1000","909","91","1","0","99"
"2025-03-20","Ridgeview MS","Middle","980","845","86","2","1","98.3"
"2025-03-20","Shady Grove Elem","Elementary","800","710","89","2","2","99.1"
"2025-03-20","Parkwood Elem","Elementary","780","667","86","4","1","99.9"
"2025-03-20","Willowbrook Elem","Elementary","760","674","89","4","2","98.3"
"2025-03-20","Willis Lane Elem","Elementary","750","658","88","4","1","97.5"
"2025-03-20","Florence Elem","Elementary","740","650","88","0","2","99.4"
"2025-03-20","Basswood Elem","Elementary","730","627","86","1","0","99.7"
"2025-03-20","Parkview Elem","Elementary","720","611","85","3","1","97"
"2025-03-20","Liberty Elem","Elementary","710","635","89","4","1","98.2"
"2025-03-20","North Star Elem","Elementary","700","613","88","4","0","97.6"
"2025-03-20","Ridgeview Elem","Elementary","690","584","85","4","0","97.9"
"2025-03-20","Hidden Lakes Elem","Elementary","680","578","85","1","2","99.9"
"2025-03-20","Bluebonnet Elem","Elementary","670","560","84","0","1","97.8"
"2025-03-27","Keller HS","High School","2800","2450","88","3","1","97.4"
"2025-03-27","Timber Creek HS","High School","2700","2388","88","2","0","99.8"
"2025-03-27","Central HS","High School","2600","2313","89","4","2","97"
"2025-03-27","Foster HS","High School","2500","2215","89","2","2","97.7"
"2025-03-27","Indian Springs MS","Middle","1200","1084","90","3","0","98.3"
"2025-03-27","Hillwood MS","Middle","1150","982","85","2","0","98"
"2025-03-27","Trinity Springs MS","Middle","1100","978","89","4","1","97.4"
"2025-03-27","Bear Creek MS","Middle","1050","902","86","1","1","98.7"
"2025-03-27","Timberview MS","Middle","1000","904","90","2","0","97.7"
"2025-03-27","Ridgeview MS","Middle","980","861","88","0","1","98.6"
"2025-03-27","Shady Grove Elem","Elementary","800","733","92","1","2","99"
"2025-03-27","Parkwood Elem","Elementary","780","710","91","3","1","98.7"
"2025-03-27","Willowbrook Elem","Elementary","760","652","86","0","0","98"
"2025-03-27","Willis Lane Elem","Elementary","750","663","88","4","2","98.6"
"2025-03-27","Florence Elem","Elementary","740","655","88","0","1","98.9"
"2025-03-27","Basswood Elem","Elementary","730","639","88","0","1","99.5"
"2025-03-27","Parkview Elem","Elementary","720","623","86","1","2","99.4"
"2025-03-27","Liberty Elem","Elementary","710","639","90","2","0","99.2"
"2025-03-27","North Star Elem","Elementary","700","628","90","1","2","99"
"2025-03-27","Ridgeview Elem","Elementary","690","600","87","3","1","98.7"
"2025-03-27","Hidden Lakes Elem","Elementary","680","600","88","0","2","97.5"
"2025-03-27","Bluebonnet Elem","Elementary","670","592","88","3","1","97.9"
"2025-04-03","Keller HS","High School","2800","2446","87","3","0","99.8"
"2025-04-03","Timber Creek HS","High School","2700","2356","87","2","1","99.4"
"2025-04-03","Central HS","High School","2600","2264","87","1","2","97.1"
"2025-04-03","Foster HS","High School","2500","2176","87","3","1","99.2"
"2025-04-03","Indian Springs MS","Middle","1200","1042","87","3","0","97.7"
"2025-04-03","Hillwood MS","Middle","1150","1034","90","4","1","99.3"
"2025-04-03","Trinity Springs MS","Middle","1100","987","90","2","0","97.8"
"2025-04-03","Bear Creek MS","Middle","1050","916","87","3","0","99.9"
"2025-04-03","Timberview MS","Middle","1000","854","85","0","1","99.2"
"2025-04-03","Ridgeview MS","Middle","980","888","91","1","0","98.5"
"2025-04-03","Shady Grove Elem","Elementary","800","730","91","4","1","97.6"
"2025-04-03","Parkwood Elem","Elementary","780","698","90","0","1","99.9"
"2025-04-03","Willowbrook Elem","Elementary","760","695","91","4","1","99.7"
"2025-04-03","Willis Lane Elem","Elementary","750","646","86","2","2","98.4"
"2025-04-03","Florence Elem","Elementary","740","631","85","3","2","99.8"
"2025-04-03","Basswood Elem","Elementary","730","628","86","0","2","99"
"2025-04-03","Parkview Elem","Elementary","720","616","86","1","0","99.1"
"2025-04-03","Liberty Elem","Elementary","710","635","89","2","2","99.6"
"2025-04-03","North Star Elem","Elementary","700","607","87","3","2","99.3"
"2025-04-03","Ridgeview Elem","Elementary","690","617","89","1","1","97.2"
"2025-04-03","Hidden Lakes Elem","Elementary","680","626","92","1","0","98.6"
"2025-04-03","Bluebonnet Elem","Elementary","670","592","88","3","1","97.1"
"2025-04-10","Keller HS","High School","2800","2460","88","1","2","97.6"
"2025-04-10","Timber Creek HS","High School","2700","2405","89","2","2","98"
"2025-04-10","Central HS","High School","2600","2261","87","2","0","99.6"
"2025-04-10","Foster HS","High School","2500","2172","87","3","1","99.1"
"2025-04-10","Indian Springs MS","Middle","1200","1044","87","3","0","98.4"
"2025-04-10","Hillwood MS","Middle","1150","1005","87","3","1","98.1"
"2025-04-10","Trinity Springs MS","Middle","1100","984","90","2","2","97.7"
"2025-04-10","Bear Creek MS","Middle","1050","940","90","3","0","99.7"
"2025-04-10","Timberview MS","Middle","1000","878","88","0","1","98.9"
"2025-04-10","Ridgeview MS","Middle","980","867","88","3","1","97.7"
"2025-04-10","Shady Grove Elem","Elementary","800","731","91","3","0","98.1"
"2025-04-10","Parkwood Elem","Elementary","780","661","85","3","0","97.7"
"2025-04-10","Willowbrook Elem","Elementary","760","673","89","2","2","98.5"
"2025-04-10","Willis Lane Elem","Elementary","750","643","86","1","2","98"
"2025-04-10","Florence Elem","Elementary","740","667","90","1","1","97.6"
"2025-04-10","Basswood Elem","Elementary","730","637","87","0","0","99.3"
"2025-04-10","Parkview Elem","Elementary","720","625","87","2","1","99.4"
"2025-04-10","Liberty Elem","Elementary","710","603","85","0","0","98.5"
"2025-04-10","North Star Elem","Elementary","700","638","91","3","2","97.8"
"2025-04-10","Ridgeview Elem","Elementary","690","596","86","1","1","98.8"
"2025-04-10","Hidden Lakes Elem","Elementary","680","613","90","0","2","98.9"
"2025-04-10","Bluebonnet Elem","Elementary","670","571","85","3","0","99.3"
"2025-04-17","Keller HS","High School","2800","2468","88","0","1","98.4"
"2025-04-17","Timber Creek HS","High School","2700","2349","87","3","1","98.7"
"2025-04-17","Central HS","High School","2600","2273","87","4","1","99.6"
"2025-04-17","Foster HS","High School","2500","2212","88","3","2","97.4"
"2025-04-17","Indian Springs MS","Middle","1200","1061","88","2","2","97.2"
"2025-04-17","Hillwood MS","Middle","1150","995","86","3","2","99.6"
"2025-04-17","Trinity Springs MS","Middle","1100","946","86","0","2","99.4"
"2025-04-17","Bear Creek MS","Middle","1050","900","86","2","1","99"
"2025-04-17","Timberview MS","Middle","1000","901","90","3","1","97.1"
"2025-04-17","Ridgeview MS","Middle","980","860","88","3","1","97.8"
"2025-04-17","Shady Grove Elem","Elementary","800","730","91","4","0","98.8"
"2025-04-17","Parkwood Elem","Elementary","780","676","87","1","1","98.1"
"2025-04-17","Willowbrook Elem","Elementary","760","670","88","4","2","99.7"
"2025-04-17","Willis Lane Elem","Elementary","750","682","91","1","2","100"
"2025-04-17","Florence Elem","Elementary","740","621","84","4","0","99.2"
"2025-04-17","Basswood Elem","Elementary","730","617","84","4","0","98.9"
"2025-04-17","Parkview Elem","Elementary","720","608","84","3","1","99.2"
"2025-04-17","Liberty Elem","Elementary","710","607","86","1","2","99"
"2025-04-17","North Star Elem","Elementary","700","626","89","0","0","99.3"
"2025-04-17","Ridgeview Elem","Elementary","690","613","89","0","2","98.3"
"2025-04-17","Hidden Lakes Elem","Elementary","680","621","91","4","2","100"
"2025-04-17","Bluebonnet Elem","Elementary","670","613","92","4","2","99.6"
"2025-04-24","Keller HS","High School","2800","2443","87","0","2","99.6"
"2025-04-24","Timber Creek HS","High School","2700","2382","88","0","2","99.4"
"2025-04-24","Central HS","High School","2600","2307","89","2","1","99.2"
"2025-04-24","Foster HS","High School","2500","2223","89","0","2","98"
"2025-04-24","Indian Springs MS","Middle","1200","1066","89","3","0","99.5"
"2025-04-24","Hillwood MS","Middle","1150","999","87","1","2","97.3"
"2025-04-24","Trinity Springs MS","Middle","1100","976","89","0","1","99.5"
"2025-04-24","Bear Creek MS","Middle","1050","920","88","1","0","99.2"
"2025-04-24","Timberview MS","Middle","1000","909","91","4","0","97.9"
"2025-04-24","Ridgeview MS","Middle","980","881","90","4","2","97.9"
"2025-04-24","Shady Grove Elem","Elementary","800","697","87","1","1","98"
"2025-04-24","Parkwood Elem","Elementary","780","690","88","4","0","99.2"
"2025-04-24","Willowbrook Elem","Elementary","760","677","89","2","0","99.2"
"2025-04-24","Willis Lane Elem","Elementary","750","675","90","2","0","99.4"
"2025-04-24","Florence Elem","Elementary","740","625","84","4","0","98.4"
"2025-04-24","Basswood Elem","Elementary","730","637","87","3","2","99.6"
"2025-04-24","Parkview Elem","Elementary","720","659","92","0","0","98"
"2025-04-24","Liberty Elem","Elementary","710","651","92","3","2","99.8"
"2025-04-24","North Star Elem","Elementary","700","633","90","3","2","98.2"
"2025-04-24","Ridgeview Elem","Elementary","690","615","89","1","2","99.5"
"2025-04-24","Hidden Lakes Elem","Elementary","680","600","88","1","1","99.2"
"2025-04-24","Bluebonnet Elem","Elementary","670","598","89","4","1","98.2"
"2025-05-01","Keller HS","High School","2800","2392","85","1","11","98.6"
"2025-05-01","Timber Creek HS","High School","2700","2299","85","3","9","98.6"
"2025-05-01","Central HS","High School","2600","2210","85","1","3","98.6"
"2025-05-01","Foster HS","High School","2500","2091","84","0","8","99.6"
"2025-05-01","Indian Springs MS","Middle","1200","1039","87","4","6","97.6"
"2025-05-01","Hillwood MS","Middle","1150","999","87","4","8","98.4"
"2025-05-01","Trinity Springs MS","Middle","1100","930","84","2","7","98.3"
"2025-05-01","Bear Creek MS","Middle","1050","913","87","0","7","99.2"
"2025-05-01","Timberview MS","Middle","1000","837","84","0","14","99.5"
"2025-05-01","Ridgeview MS","Middle","980","826","84","0","10","99"
"2025-05-01","Shady Grove Elem","Elementary","800","649","81","0","7","97.8"
"2025-05-01","Parkwood Elem","Elementary","780","671","86","3","6","98.2"
"2025-05-01","Willowbrook Elem","Elementary","760","622","82","0","6","98.3"
"2025-05-01","Willis Lane Elem","Elementary","750","614","82","2","14","97.6"
"2025-05-01","Florence Elem","Elementary","740","625","84","3","13","97.7"
"2025-05-01","Basswood Elem","Elementary","730","646","88","4","3","97.3"
"2025-05-01","Parkview Elem","Elementary","720","632","88","3","9","98.2"
"2025-05-01","Liberty Elem","Elementary","710","577","81","3","9","99"
"2025-05-01","North Star Elem","Elementary","700","567","81","2","11","98.5"
"2025-05-01","Ridgeview Elem","Elementary","690","576","84","0","7","97.9"
"2025-05-01","Hidden Lakes Elem","Elementary","680","580","85","2","13","99.7"
"2025-05-01","Bluebonnet Elem","Elementary","670","536","80","0","5","97.8"
"2025-05-08","Keller HS","High School","2800","2337","84","4","7","99.1"
"2025-05-08","Timber Creek HS","High School","2700","2282","84","3","14","99.3"
"2025-05-08","Central HS","High School","2600","2211","85","0","14","99.6"
"2025-05-08","Foster HS","High School","2500","2093","84","2","9","100"
"2025-05-08","Indian Springs MS","Middle","1200","1015","85","2","13","97.5"
"2025-05-08","Hillwood MS","Middle","1150","976","85","4","13","98.8"
"2025-05-08","Trinity Springs MS","Middle","1100","950","86","3","12","98.4"
"2025-05-08","Bear Creek MS","Middle","1050","881","84","2","12","98.9"
"2025-05-08","Timberview MS","Middle","1000","821","82","1","6","98.4"
"2025-05-08","Ridgeview MS","Middle","980","850","87","1","3","99.7"
"2025-05-08","Shady Grove Elem","Elementary","800","675","84","1","7","99.2"
"2025-05-08","Parkwood Elem","Elementary","780","632","81","0","3","97.7"
"2025-05-08","Willowbrook Elem","Elementary","760","623","82","3","5","97.2"
"2025-05-08","Willis Lane Elem","Elementary","750","621","83","1","9","99"
"2025-05-08","Florence Elem","Elementary","740","652","88","1","12","97.2"
"2025-05-08","Basswood Elem","Elementary","730","627","86","1","12","98.1"
"2025-05-08","Parkview Elem","Elementary","720","629","87","4","9","97"
"2025-05-08","Liberty Elem","Elementary","710","595","84","1","10","98.4"
"2025-05-08","North Star Elem","Elementary","700","604","86","4","14","97.1"
"2025-05-08","Ridgeview Elem","Elementary","690","608","88","4","12","99.3"
"2025-05-08","Hidden Lakes Elem","Elementary","680","548","81","2","4","99.9"
"2025-05-08","Bluebonnet Elem","Elementary","670","554","83","2","12","97.8"
"2025-05-15","Keller HS","High School","2800","2389","85","1","11","99"
"2025-05-15","Timber Creek HS","High School","2700","2272","84","0","11","99.1"
"2025-05-15","Central HS","High School","2600","2168","83","3","6","97.4"
"2025-05-15","Foster HS","High School","2500","2090","84","1","4","99.7"
"2025-05-15","Indian Springs MS","Middle","1200","1002","84","4","8","99.3"
"2025-05-15","Hillwood MS","Middle","1150","955","83","3","10","99.5"
"2025-05-15","Trinity Springs MS","Middle","1100","927","84","3","8","97.2"
"2025-05-15","Bear Creek MS","Middle","1050","881","84","2","12","99.1"
"2025-05-15","Timberview MS","Middle","1000","830","83","0","13","97.3"
"2025-05-15","Ridgeview MS","Middle","980","831","85","0","10","99.6"
"2025-05-15","Shady Grove Elem","Elementary","800","685","86","3","11","99.8"
"2025-05-15","Parkwood Elem","Elementary","780","678","87","2","13","97.2"
"2025-05-15","Willowbrook Elem","Elementary","760","666","88","4","9","98.6"
"2025-05-15","Willis Lane Elem","Elementary","750","623","83","2","11","97.1"
"2025-05-15","Florence Elem","Elementary","740","654","88","1","12","99.3"
"2025-05-15","Basswood Elem","Elementary","730","636","87","0","9","99.3"
"2025-05-15","Parkview Elem","Elementary","720","590","82","1","7","99.1"
"2025-05-15","Liberty Elem","Elementary","710","623","88","3","5","99.6"
"2025-05-15","North Star Elem","Elementary","700","611","87","1","11","97.7"
"2025-05-15","Ridgeview Elem","Elementary","690","575","83","1","8","98.8"
"2025-05-15","Hidden Lakes Elem","Elementary","680","574","84","2","7","98.9"
"2025-05-15","Bluebonnet Elem","Elementary","670","538","80","4","10","97.3"
"2025-05-22","Keller HS","High School","2800","2391","85","3","7","98.3"
"2025-05-22","Timber Creek HS","High School","2700","2258","84","2","8","97.6"
"2025-05-22","Central HS","High School","2600","2209","85","0","8","98.5"
"2025-05-22","Foster HS","High School","2500","2135","85","2","11","99"
"2025-05-22","Indian Springs MS","Middle","1200","1039","87","1","13","97.3"
"2025-05-22","Hillwood MS","Middle","1150","974","85","3","11","99.5"
"2025-05-22","Trinity Springs MS","Middle","1100","947","86","0","3","97.6"
"2025-05-22","Bear Creek MS","Middle","1050","877","84","0","8","98.1"
"2025-05-22","Timberview MS","Middle","1000","818","82","2","3","98.2"
"2025-05-22","Ridgeview MS","Middle","980","819","84","3","3","97.5"
"2025-05-22","Shady Grove Elem","Elementary","800","702","88","3","12","97.5"
"2025-05-22","Parkwood Elem","Elementary","780","655","84","0","14","97.1"
"2025-05-22","Willowbrook Elem","Elementary","760","648","85","4","9","99.1"
"2025-05-22","Willis Lane Elem","Elementary","750","627","84","3","8","99.3"
"2025-05-22","Florence Elem","Elementary","740","643","87","4","12","98.3"
"2025-05-22","Basswood Elem","Elementary","730","644","88","4","12","97.3"
"2025-05-22","Parkview Elem","Elementary","720","634","88","0","3","97.8"
"2025-05-22","Liberty Elem","Elementary","710","611","86","4","10","98"
"2025-05-22","North Star Elem","Elementary","700","579","83","0","12","97.3"
"2025-05-22","Ridgeview Elem","Elementary","690","554","80","3","3","98.2"
"2025-05-22","Hidden Lakes Elem","Elementary","680","586","86","0","7","98.1"
"2025-05-22","Bluebonnet Elem","Elementary","670","589","88","4","13","98.6"
"2025-05-29","Keller HS","High School","2800","2337","84","4","3","98.7"
"2025-05-29","Timber Creek HS","High School","2700","2306","85","0","5","97.5"
"2025-05-29","Central HS","High School","2600","2188","84","2","7","97"
"2025-05-29","Foster HS","High School","2500","2129","85","3","9","97.5"
"2025-05-29","Indian Springs MS","Middle","1200","1022","85","0","14","98.4"
"2025-05-29","Hillwood MS","Middle","1150","948","82","4","8","97.9"
"2025-05-29","Trinity Springs MS","Middle","1100","899","82","0","6","99.6"
"2025-05-29","Bear Creek MS","Middle","1050","876","83","0","8","99.4"
"2025-05-29","Timberview MS","Middle","1000","847","85","2","10","97.9"
"2025-05-29","Ridgeview MS","Middle","980","822","84","0","3","97.5"
"2025-05-29","Shady Grove Elem","Elementary","800","656","82","0","8","97.7"
"2025-05-29","Parkwood Elem","Elementary","780","664","85","0","4","99.2"
"2025-05-29","Willowbrook Elem","Elementary","760","666","88","1","13","98.7"
"2025-05-29","Willis Lane Elem","Elementary","750","628","84","1","8","98.7"
"2025-05-29","Florence Elem","Elementary","740","595","80","2","9","99.2"
"2025-05-29","Basswood Elem","Elementary","730","607","83","4","9","97.9"
"2025-05-29","Parkview Elem","Elementary","720","581","81","3","5","99.6"
"2025-05-29","Liberty Elem","Elementary","710","627","88","0","7","98.1"
"2025-05-29","North Star Elem","Elementary","700","589","84","2","11","97"
"2025-05-29","Ridgeview Elem","Elementary","690","559","81","0","10","97.8"
"2025-05-29","Hidden Lakes Elem","Elementary","680","565","83","3","6","99.8"
"2025-05-29","Bluebonnet Elem","Elementary","670","572","85","2","14","98.4"
"2025-06-05","Keller HS","High School","2800","2338","84","3","6","98.6"
"2025-06-05","Timber Creek HS","High School","2700","2263","84","0","10","97.9"
"2025-06-05","Central HS","High School","2600","2192","84","3","4","99.3"
"2025-06-05","Foster HS","High School","2500","2138","86","0","3","99.4"
"2025-06-05","Indian Springs MS","Middle","1200","997","83","1","10","97.1"
"2025-06-05","Hillwood MS","Middle","1150","968","84","0","7","99.6"
"2025-06-05","Trinity Springs MS","Middle","1100","954","87","1","5","98.4"
"2025-06-05","Bear Creek MS","Middle","1050","865","82","1","12","99"
"2025-06-05","Timberview MS","Middle","1000","852","85","4","4","99.5"
"2025-06-05","Ridgeview MS","Middle","980","827","84","0","9","97.7"
"2025-06-05","Shady Grove Elem","Elementary","800","652","82","2","9","98.6"
"2025-06-05","Parkwood Elem","Elementary","780","651","84","1","7","99.7"
"2025-06-05","Willowbrook Elem","Elementary","760","625","82","1","5","97.4"
"2025-06-05","Willis Lane Elem","Elementary","750","611","82","2","4","98.7"
"2025-06-05","Florence Elem","Elementary","740","612","83","0","14","98"
"2025-06-05","Basswood Elem","Elementary","730","613","84","4","8","99.9"
"2025-06-05","Parkview Elem","Elementary","720","626","87","2","3","97.5"
"2025-06-05","Liberty Elem","Elementary","710","607","86","0","12","98.6"
"2025-06-05","North Star Elem","Elementary","700","595","85","1","7","98"
"2025-06-05","Ridgeview Elem","Elementary","690","571","83","1","9","98.4"
"2025-06-05","Hidden Lakes Elem","Elementary","680","558","82","4","10","99.4"
"2025-06-05","Bluebonnet Elem","Elementary","670","536","80","4","13","98.2"
"2025-06-12","Keller HS","High School","2800","2342","84","4","10","99.3"
"2025-06-12","Timber Creek HS","High School","2700","2309","86","4","9","97.8"
"2025-06-12","Central HS","High School","2600","2169","83","3","4","98.6"
"2025-06-12","Foster HS","High School","2500","2115","85","3","5","99.3"
"2025-06-12","Indian Springs MS","Middle","1200","1025","85","3","13","99.6"
"2025-06-12","Hillwood MS","Middle","1150","960","84","4","12","99.4"
"2025-06-12","Trinity Springs MS","Middle","1100","931","85","3","4","98.4"
"2025-06-12","Bear Creek MS","Middle","1050","866","82","1","4","98.7"
"2025-06-12","Timberview MS","Middle","1000","857","86","3","10","98.5"
"2025-06-12","Ridgeview MS","Middle","980","823","84","4","3","98.9"
"2025-06-12","Shady Grove Elem","Elementary","800","668","84","0","9","99.7"
"2025-06-12","Parkwood Elem","Elementary","780","663","85","2","8","99.9"
"2025-06-12","Willowbrook Elem","Elementary","760","637","84","4","6","97.5"
"2025-06-12","Willis Lane Elem","Elementary","750","613","82","3","5","98.4"
"2025-06-12","Florence Elem","Elementary","740","599","81","2","8","99"
"2025-06-12","Basswood Elem","Elementary","730","606","83","3","13","98.2"
"2025-06-12","Parkview Elem","Elementary","720","604","84","4","11","98.9"
"2025-06-12","Liberty Elem","Elementary","710","626","88","3","11","97.4"
"2025-06-12","North Star Elem","Elementary","700","567","81","1","14","97.6"
"2025-06-12","Ridgeview Elem","Elementary","690","565","82","3","6","98.5"
"2025-06-12","Hidden Lakes Elem","Elementary","680","568","84","4","5","97.2"
"2025-06-12","Bluebonnet Elem","Elementary","670","587","88","3","7","99.5"
"2025-06-19","Keller HS","High School","2800","2359","84","3","13","97.8"
"2025-06-19","Timber Creek HS","High School","2700","2268","84","1","3","98.9"
"2025-06-19","Central HS","High School","2600","2200","85","1","13","97.7"
"2025-06-19","Foster HS","High School","2500","2106","84","1","10","99.8"
"2025-06-19","Indian Springs MS","Middle","1200","1037","86","2","7","98.1"
"2025-06-19","Hillwood MS","Middle","1150","961","84","3","8","97.4"
"2025-06-19","Trinity Springs MS","Middle","1100","957","87","2","7","97.7"
