"WeekStartDate","Campus","GradeBand","FleetSize","DevicesAssigned","DevicesPendingAssignment","DevicesUnassigned","AssignmentCompletePct","AutopilotSuccessRatePct","DevicesNotSeenIn7Days","DevicesNotSeenIn30Days"
"2025-03-13","Willowbrook Elem","Elementary","114","111","3","0","97","98","5","1"
"2025-03-13","Willis Lane Elem","Elementary","112","106","3","3","95","97","1","1"
"2025-03-13","Florence Elem","Elementary","111","109","2","0","98","99","2","1"
"2025-03-13","Basswood Elem","Elementary","110","104","1","5","95","99","3","1"
"2025-03-13","Parkview Elem","Elementary","108","104","3","1","96","98","3","1"
"2025-03-13","Liberty Elem","Elementary","106","102","1","3","96","98","3","1"
"2025-03-20","Keller HS","High School","2660","2607","80","0","98","97","80","27"
"2025-03-20","Timber Creek HS","High School","2565","2514","26","25","98","97","103","26"
"2025-03-20","Central HS","High School","2470","2371","49","50","96","98","49","25"
"2025-03-20","Foster HS","High School","2375","2256","24","95","95","98","24","24"
"2025-03-20","Indian Springs MS","Middle","1080","1058","11","11","98","99","43","11"
"2025-03-20","Hillwood MS","Middle","1035","983","21","31","95","97","21","10"
"2025-03-20","Trinity Springs MS","Middle","990","970","20","0","98","97","20","10"
"2025-03-20","Bear Creek MS","Middle","945","917","19","9","97","98","19","9"
"2025-03-20","Timberview MS","Middle","900","882","18","0","98","99","18","9"
"2025-03-20","Ridgeview MS","Middle","882","838","9","35","95","97","26","9"
"2025-03-20","Shady Grove Elem","Elementary","120","118","2","0","98","98","2","1"
"2025-03-20","Parkwood Elem","Elementary","117","111","2","4","95","98","2","1"
"2025-03-20","Willowbrook Elem","Elementary","114","111","1","2","97","97","5","1"
"2025-03-20","Willis Lane Elem","Elementary","112","106","3","3","95","98","2","1"
"2025-03-20","Florence Elem","Elementary","111","109","1","1","98","98","3","1"
"2025-03-20","Basswood Elem","Elementary","110","106","3","1","96","97","1","1"
"2025-03-20","Parkview Elem","Elementary","108","105","1","2","97","98","4","1"
"2025-03-20","Liberty Elem","Elementary","106","104","1","1","98","98","2","1"
"2025-03-27","Keller HS","High School","2660","2527","53","80","95","97","106","27"
"2025-03-27","Timber Creek HS","High School","2565","2462","26","77","96","99","77","26"
"2025-03-27","Central HS","High School","2470","2396","25","49","97","99","49","25"
"2025-03-27","Foster HS","High School","2375","2304","24","47","97","97","71","24"
"2025-03-27","Indian Springs MS","Middle","1080","1058","11","11","98","99","32","11"
"2025-03-27","Hillwood MS","Middle","1035","1004","31","0","97","98","41","10"
"2025-03-27","Trinity Springs MS","Middle","990","970","20","0","98","99","30","10"
"2025-03-27","Bear Creek MS","Middle","945","907","19","19","96","99","28","9"
"2025-03-27","Timberview MS","Middle","900","855","27","18","95","98","36","9"
"2025-03-27","Ridgeview MS","Middle","882","847","18","17","96","97","18","9"
"2025-03-27","Shady Grove Elem","Elementary","120","118","2","0","98","98","2","1"
"2025-03-27","Parkwood Elem","Elementary","117","115","4","0","98","99","1","1"
"2025-03-27","Willowbrook Elem","Elementary","114","108","2","4","95","98","5","1"
"2025-03-27","Willis Lane Elem","Elementary","112","110","3","0","98","98","4","1"
"2025-03-27","Florence Elem","Elementary","111","105","1","5","95","97","3","1"
"2025-03-27","Basswood Elem","Elementary","110","104","3","3","95","97","2","1"
"2025-03-27","Parkview Elem","Elementary","108","106","3","0","98","99","3","1"
"2025-03-27","Liberty Elem","Elementary","106","103","1","2","97","97","4","1"
"2025-04-03","Keller HS","High School","2660","2580","27","53","97","97","27","27"
"2025-04-03","Timber Creek HS","High School","2565","2514","77","0","98","99","51","26"
"2025-04-03","Central HS","High School","2470","2421","74","0","98","97","25","25"
"2025-04-03","Foster HS","High School","2375","2256","71","48","95","99","71","24"
"2025-04-03","Indian Springs MS","Middle","1080","1058","22","0","98","97","22","11"
"2025-04-03","Hillwood MS","Middle","1035","1004","31","0","97","97","21","10"
"2025-04-03","Trinity Springs MS","Middle","990","940","30","20","95","98","20","10"
"2025-04-03","Bear Creek MS","Middle","945","926","19","0","98","98","19","9"
"2025-04-03","Timberview MS","Middle","900","855","27","18","95","98","18","9"
"2025-04-03","Ridgeview MS","Middle","882","847","18","17","96","99","9","9"
"2025-04-03","Shady Grove Elem","Elementary","120","114","1","5","95","98","1","1"
"2025-04-03","Parkwood Elem","Elementary","117","115","1","1","98","97","4","1"
"2025-04-03","Willowbrook Elem","Elementary","114","108","2","4","95","98","3","1"
"2025-04-03","Willis Lane Elem","Elementary","112","110","1","1","98","97","3","1"
"2025-04-03","Florence Elem","Elementary","111","107","2","2","96","98","3","1"
"2025-04-03","Basswood Elem","Elementary","110","107","2","1","97","98","1","1"
"2025-04-03","Parkview Elem","Elementary","108","103","3","2","95","97","1","1"
"2025-04-03","Liberty Elem","Elementary","106","104","2","0","98","99","3","1"
"2025-04-10","Keller HS","High School","2660","2554","53","53","96","98","27","27"
"2025-04-10","Timber Creek HS","High School","2565","2462","77","26","96","99","103","26"
"2025-04-10","Central HS","High School","2470","2346","74","50","95","98","74","25"
"2025-04-10","Foster HS","High School","2375","2304","71","0","97","99","24","24"
"2025-04-10","Indian Springs MS","Middle","1080","1026","11","43","95","98","11","11"
"2025-04-10","Hillwood MS","Middle","1035","983","21","31","95","97","41","10"
"2025-04-10","Trinity Springs MS","Middle","990","950","30","10","96","97","10","10"
"2025-04-10","Bear Creek MS","Middle","945","907","9","29","96","98","9","9"
"2025-04-10","Timberview MS","Middle","900","855","27","18","95","99","18","9"
"2025-04-10","Ridgeview MS","Middle","882","864","26","0","98","99","9","9"
"2025-04-10","Shady Grove Elem","Elementary","120","116","4","0","97","99","2","1"
"2025-04-10","Parkwood Elem","Elementary","117","111","1","5","95","98","4","1"
"2025-04-10","Willowbrook Elem","Elementary","114","108","2","4","95","98","5","1"
"2025-04-10","Willis Lane Elem","Elementary","112","110","1","1","98","97","3","1"
"2025-04-10","Florence Elem","Elementary","111","105","3","3","95","99","2","1"
"2025-04-10","Basswood Elem","Elementary","110","107","3","0","97","98","4","1"
"2025-04-10","Parkview Elem","Elementary","108","103","3","2","95","97","2","1"
"2025-04-10","Liberty Elem","Elementary","106","103","3","0","97","98","4","1"
"2025-04-17","Keller HS","High School","2660","2554","80","26","96","98","106","27"
"2025-04-17","Timber Creek HS","High School","2565","2437","26","102","95","99","51","26"
"2025-04-17","Central HS","High School","2470","2421","25","24","98","97","74","25"
"2025-04-17","Foster HS","High School","2375","2304","24","47","97","97","48","24"
"2025-04-17","Indian Springs MS","Middle","1080","1048","32","0","97","97","22","11"
"2025-04-17","Hillwood MS","Middle","1035","994","10","31","96","99","21","10"
"2025-04-17","Trinity Springs MS","Middle","990","940","10","40","95","99","10","10"
"2025-04-17","Bear Creek MS","Middle","945","907","9","29","96","97","9","9"
"2025-04-17","Timberview MS","Middle","900","873","27","0","97","97","36","9"
"2025-04-17","Ridgeview MS","Middle","882","864","26","0","98","98","26","9"
"2025-04-17","Shady Grove Elem","Elementary","120","118","1","1","98","97","5","1"
"2025-04-17","Parkwood Elem","Elementary","117","112","2","3","96","97","5","1"
"2025-04-17","Willowbrook Elem","Elementary","114","112","3","0","98","99","2","1"
"2025-04-17","Willis Lane Elem","Elementary","112","106","1","5","95","98","3","1"
"2025-04-17","Florence Elem","Elementary","111","108","2","1","97","97","3","1"
"2025-04-17","Basswood Elem","Elementary","110","107","3","0","97","98","3","1"
"2025-04-17","Parkview Elem","Elementary","108","103","2","3","95","97","4","1"
"2025-04-17","Liberty Elem","Elementary","106","101","1","4","95","99","2","1"
"2025-04-24","Keller HS","High School","2660","2580","80","0","97","98","106","27"
"2025-04-24","Timber Creek HS","High School","2565","2462","26","77","96","99","103","26"
"2025-04-24","Central HS","High School","2470","2421","74","0","98","98","49","25"
"2025-04-24","Foster HS","High School","2375","2256","24","95","95","99","24","24"
"2025-04-24","Indian Springs MS","Middle","1080","1058","22","0","98","99","43","11"
"2025-04-24","Hillwood MS","Middle","1035","1004","10","21","97","97","10","10"
"2025-04-24","Trinity Springs MS","Middle","990","950","10","30","96","98","20","10"
"2025-04-24","Bear Creek MS","Middle","945","926","9","10","98","97","9","9"
"2025-04-24","Timberview MS","Middle","900","855","9","36","95","99","9","9"
"2025-04-24","Ridgeview MS","Middle","882","856","9","17","97","97","35","9"
"2025-04-24","Shady Grove Elem","Elementary","120","115","4","1","96","99","4","1"
"2025-04-24","Parkwood Elem","Elementary","117","115","2","0","98","99","1","1"
"2025-04-24","Willowbrook Elem","Elementary","114","108","3","3","95","97","1","1"
"2025-04-24","Willis Lane Elem","Elementary","112","106","3","3","95","97","1","1"
"2025-04-24","Florence Elem","Elementary","111","108","3","0","97","98","3","1"
"2025-04-24","Basswood Elem","Elementary","110","107","3","0","97","99","4","1"
"2025-04-24","Parkview Elem","Elementary","108","104","1","3","96","99","1","1"
"2025-04-24","Liberty Elem","Elementary","106","101","3","2","95","98","4","1"
"2025-05-01","Keller HS","High School","2660","2607","27","26","98","99","27","27"
"2025-05-01","Timber Creek HS","High School","2565","2488","77","0","97","98","103","26"
"2025-05-01","Central HS","High School","2470","2371","49","50","96","97","25","25"
"2025-05-01","Foster HS","High School","2375","2304","71","0","97","97","95","24"
"2025-05-01","Indian Springs MS","Middle","1080","1058","11","11","98","97","43","11"
"2025-05-01","Hillwood MS","Middle","1035","994","31","10","96","97","31","10"
"2025-05-01","Trinity Springs MS","Middle","990","960","30","0","97","97","10","10"
"2025-05-01","Bear Creek MS","Middle","945","917","19","9","97","99","9","9"
"2025-05-01","Timberview MS","Middle","900","864","18","18","96","97","18","9"
"2025-05-01","Ridgeview MS","Middle","882","856","26","0","97","97","18","9"
"2025-05-01","Shady Grove Elem","Elementary","120","114","4","2","95","98","1","1"
"2025-05-01","Parkwood Elem","Elementary","117","112","1","4","96","97","1","1"
"2025-05-01","Willowbrook Elem","Elementary","114","112","1","1","98","98","5","1"
"2025-05-01","Willis Lane Elem","Elementary","112","108","2","2","96","98","2","1"
"2025-05-01","Florence Elem","Elementary","111","107","1","3","96","97","1","1"
"2025-05-01","Basswood Elem","Elementary","110","107","3","0","97","99","2","1"
"2025-05-01","Parkview Elem","Elementary","108","103","1","4","95","98","2","1"
"2025-05-01","Liberty Elem","Elementary","106","102","1","3","96","98","4","1"
"2025-05-08","Keller HS","High School","2660","2554","27","79","96","99","80","27"
"2025-05-08","Timber Creek HS","High School","2565","2514","26","25","98","99","77","26"
"2025-05-08","Central HS","High School","2470","2346","74","50","95","99","25","25"
"2025-05-08","Foster HS","High School","2375","2256","48","71","95","98","71","24"
"2025-05-08","Indian Springs MS","Middle","1080","1048","22","10","97","99","43","11"
"2025-05-08","Hillwood MS","Middle","1035","1014","31","0","98","99","31","10"
"2025-05-08","Trinity Springs MS","Middle","990","940","10","40","95","97","40","10"
"2025-05-08","Bear Creek MS","Middle","945","926","28","0","98","98","19","9"
"2025-05-08","Timberview MS","Middle","900","855","18","27","95","98","27","9"
"2025-05-08","Ridgeview MS","Middle","882","856","26","0","97","98","26","9"
"2025-05-08","Shady Grove Elem","Elementary","120","114","4","2","95","99","2","1"
"2025-05-08","Parkwood Elem","Elementary","117","111","2","4","95","98","2","1"
"2025-05-08","Willowbrook Elem","Elementary","114","108","3","3","95","99","1","1"
"2025-05-08","Willis Lane Elem","Elementary","112","108","3","1","96","99","1","1"
"2025-05-08","Florence Elem","Elementary","111","105","2","4","95","99","2","1"
"2025-05-08","Basswood Elem","Elementary","110","107","3","0","97","97","1","1"
"2025-05-08","Parkview Elem","Elementary","108","103","3","2","95","97","2","1"
"2025-05-08","Liberty Elem","Elementary","106","103","1","2","97","98","4","1"
"2025-05-15","Keller HS","High School","2660","2554","53","53","96","98","80","27"
"2025-05-15","Timber Creek HS","High School","2565","2437","77","51","95","97","103","26"
"2025-05-15","Central HS","High School","2470","2421","49","0","98","98","74","25"
"2025-05-15","Foster HS","High School","2375","2256","24","95","95","97","95","24"
"2025-05-15","Indian Springs MS","Middle","1080","1026","32","22","95","99","22","11"
"2025-05-15","Hillwood MS","Middle","1035","994","10","31","96","97","31","10"
"2025-05-15","Trinity Springs MS","Middle","990","960","20","10","97","99","30","10"
"2025-05-15","Bear Creek MS","Middle","945","917","9","19","97","99","38","9"
"2025-05-15","Timberview MS","Middle","900","873","9","18","97","99","9","9"
"2025-05-15","Ridgeview MS","Middle","882","856","9","17","97","99","9","9"
"2025-05-15","Shady Grove Elem","Elementary","120","115","2","3","96","99","1","1"
"2025-05-15","Parkwood Elem","Elementary","117","115","1","1","98","99","1","1"
"2025-05-15","Willowbrook Elem","Elementary","114","111","2","1","97","99","1","1"
"2025-05-15","Willis Lane Elem","Elementary","112","108","2","2","96","97","3","1"
"2025-05-15","Florence Elem","Elementary","111","105","3","3","95","99","2","1"
"2025-05-15","Basswood Elem","Elementary","110","107","2","1","97","97","3","1"
"2025-05-15","Parkview Elem","Elementary","108","104","2","2","96","98","3","1"
"2025-05-15","Liberty Elem","Elementary","106","103","2","1","97","97","4","1"
"2025-05-22","Keller HS","High School","2660","2527","53","80","95","99","53","27"
"2025-05-22","Timber Creek HS","High School","2565","2462","77","26","96","97","26","26"
"2025-05-22","Central HS","High School","2470","2371","49","50","96","99","74","25"
"2025-05-22","Foster HS","High School","2375","2304","48","23","97","99","24","24"
"2025-05-22","Indian Springs MS","Middle","1080","1037","22","21","96","99","43","11"
"2025-05-22","Hillwood MS","Middle","1035","1004","10","21","97","98","21","10"
"2025-05-22","Trinity Springs MS","Middle","990","940","10","40","95","99","30","10"
"2025-05-22","Bear Creek MS","Middle","945","917","9","19","97","99","38","9"
"2025-05-22","Timberview MS","Middle","900","882","27","0","98","98","9","9"
"2025-05-22","Ridgeview MS","Middle","882","847","9","26","96","99","35","9"
"2025-05-22","Shady Grove Elem","Elementary","120","115","1","4","96","99","1","1"
"2025-05-22","Parkwood Elem","Elementary","117","111","4","2","95","99","1","1"
"2025-05-22","Willowbrook Elem","Elementary","114","108","1","5","95","97","3","1"
"2025-05-22","Willis Lane Elem","Elementary","112","108","2","2","96","98","4","1"
"2025-05-22","Florence Elem","Elementary","111","109","1","1","98","99","2","1"
"2025-05-22","Basswood Elem","Elementary","110","106","3","1","96","97","3","1"
"2025-05-22","Parkview Elem","Elementary","108","106","3","0","98","99","2","1"
"2025-05-22","Liberty Elem","Elementary","106","102","2","2","96","97","2","1"
"2025-05-29","Keller HS","High School","2660","2607","27","26","98","97","27","27"
"2025-05-29","Timber Creek HS","High School","2565","2437","51","77","95","99","51","26"
"2025-05-29","Central HS","High School","2470","2396","49","25","97","97","49","25"
"2025-05-29","Foster HS","High School","2375","2304","71","0","97","99","71","24"
"2025-05-29","Indian Springs MS","Middle","1080","1058","11","11","98","98","11","11"
"2025-05-29","Hillwood MS","Middle","1035","1014","21","0","98","98","31","10"
"2025-05-29","Trinity Springs MS","Middle","990","960","30","0","97","99","30","10"
"2025-05-29","Bear Creek MS","Middle","945","907","9","29","96","97","9","9"
"2025-05-29","Timberview MS","Middle","900","855","9","36","95","98","27","9"
"2025-05-29","Ridgeview MS","Middle","882","847","26","9","96","97","35","9"
"2025-05-29","Shady Grove Elem","Elementary","120","116","4","0","97","97","1","1"
"2025-05-29","Parkwood Elem","Elementary","117","111","1","5","95","99","5","1"
"2025-05-29","Willowbrook Elem","Elementary","114","109","3","2","96","98","5","1"
"2025-05-29","Willis Lane Elem","Elementary","112","108","3","1","96","97","3","1"
"2025-05-29","Florence Elem","Elementary","111","105","3","3","95","98","4","1"
"2025-05-29","Basswood Elem","Elementary","110","108","3","0","98","98","1","1"
"2025-05-29","Parkview Elem","Elementary","108","106","2","0","98","97","1","1"
"2025-05-29","Liberty Elem","Elementary","106","102","1","3","96","97","3","1"
"2025-06-05","Keller HS","High School","2660","2554","27","79","96","99","106","27"
"2025-06-05","Timber Creek HS","High School","2565","2514","51","0","98","98","77","26"
"2025-06-05","Central HS","High School","2470","2421","74","0","98","97","74","25"
"2025-06-05","Foster HS","High School","2375","2280","71","24","96","98","71","24"
"2025-06-05","Indian Springs MS","Middle","1080","1058","32","0","98","99","22","11"
"2025-06-05","Hillwood MS","Middle","1035","983","10","42","95","99","31","10"
"2025-06-05","Trinity Springs MS","Middle","990","970","20","0","98","97","10","10"
"2025-06-05","Bear Creek MS","Middle","945","926","28","0","98","99","19","9"
"2025-06-05","Timberview MS","Middle","900","855","27","18","95","98","9","9"
"2025-06-05","Ridgeview MS","Middle","882","847","18","17","96","97","35","9"
"2025-06-05","Shady Grove Elem","Elementary","120","115","1","4","96","97","5","1"
"2025-06-05","Parkwood Elem","Elementary","117","112","2","3","96","97","1","1"
"2025-06-05","Willowbrook Elem","Elementary","114","112","1","1","98","98","1","1"
"2025-06-05","Willis Lane Elem","Elementary","112","109","2","1","97","98","1","1"
"2025-06-05","Florence Elem","Elementary","111","109","1","1","98","97","1","1"
"2025-06-05","Basswood Elem","Elementary","110","108","3","0","98","98","4","1"
"2025-06-05","Parkview Elem","Elementary","108","106","2","0","98","97","1","1"
"2025-06-05","Liberty Elem","Elementary","106","102","1","3","96","97","1","1"
"2025-06-12","Keller HS","High School","2660","2607","80","0","98","97","106","27"
"2025-06-12","Timber Creek HS","High School","2565","2462","51","52","96","98","103","26"
"2025-06-12","Central HS","High School","2470","2346","74","50","95","99","99","25"
"2025-06-12","Foster HS","High School","2375","2280","71","24","96","98","95","24"
"2025-06-12","Indian Springs MS","Middle","1080","1048","22","10","97","97","43","11"
"2025-06-12","Hillwood MS","Middle","1035","983","31","21","95","98","10","10"
"2025-06-12","Trinity Springs MS","Middle","990","970","10","10","98","98","20","10"
"2025-06-12","Bear Creek MS","Middle","945","907","19","19","96","97","9","9"
"2025-06-12","Timberview MS","Middle","900","855","18","27","95","97","27","9"
"2025-06-12","Ridgeview MS","Middle","882","847","9","26","96","97","9","9"
"2025-06-12","Shady Grove Elem","Elementary","120","114","1","5","95","98","2","1"
"2025-06-12","Parkwood Elem","Elementary","117","113","2","2","97","99","1","1"
"2025-06-12","Willowbrook Elem","Elementary","114","111","1","2","97","97","2","1"
"2025-06-12","Willis Lane Elem","Elementary","112","109","2","1","97","97","1","1"
"2025-06-12","Florence Elem","Elementary","111","109","3","0","98","98","4","1"
"2025-06-12","Basswood Elem","Elementary","110","107","1","2","97","98","4","1"
"2025-06-12","Parkview Elem","Elementary","108","105","1","2","97","98","4","1"
"2025-06-12","Liberty Elem","Elementary","106","103","2","1","97","98","4","1"
"2025-06-19","Keller HS","High School","2660","2554","53","53","96","97","53","27"
"2025-06-19","Timber Creek HS","High School","2565","2462","77","26","96","99","51","26"
"2025-06-19","Central HS","High School","2470","2346","74","50","95","99","74","25"
"2025-06-19","Foster HS","High School","2375","2328","24","23","98","97","24","24"
"2025-06-19","Indian Springs MS","Middle","1080","1037","22","21","96","99","22","11"
"2025-06-19","Hillwood MS","Middle","1035","983","31","21","95","98","41","10"
"2025-06-19","Trinity Springs MS","Middle","990","950","30","10","96","98","10","10"
"2025-06-19","Bear Creek MS","Middle","945","926","9","10","98","99","28","9"
"2025-06-19","Timberview MS","Middle","900","882","9","9","98","99","18","9"
"2025-06-19","Ridgeview MS","Middle","882","864","18","0","98","99","35","9"
"2025-06-19","Shady Grove Elem","Elementary","120","115","2","3","96","99","2","1"
"2025-06-19","Parkwood Elem","Elementary","117","113","1","3","97","99","1","1"
"2025-06-19","Willowbrook Elem","Elementary","114","109","2","3","96","98","3","1"
"2025-06-19","Willis Lane Elem","Elementary","112","106","1","5","95","98","2","1"
"2025-06-19","Florence Elem","Elementary","111","108","2","1","97","97","2","1"
"2025-06-19","Basswood Elem","Elementary","110","107","3","0","97","97","3","1"
"2025-06-19","Parkview Elem","Elementary","108","106","3","0","98","98","2","1"
"2025-06-19","Liberty Elem","Elementary","106","103","1","2","97","97","1","1"
"2025-06-26","Keller HS","High School","2660","2607","80","0","98","98","27","27"
"2025-06-26","Timber Creek HS","High School","2565","2514","77","0","98","98","77","26"
"2025-06-26","Central HS","High School","2470","2421","25","24","98","97","74","25"
"2025-06-26","Foster HS","High School","2375","2304","48","23","97","97","24","24"
"2025-06-26","Indian Springs MS","Middle","1080","1026","22","32","95","98","32","11"
"2025-06-26","Hillwood MS","Middle","1035","994","10","31","96","98","31","10"
"2025-06-26","Trinity Springs MS","Middle","990","970","10","10","98","98","40","10"
"2025-06-26","Bear Creek MS","Middle","945","907","19","19","96","98","28","9"
"2025-06-26","Timberview MS","Middle","900","855","18","27","95","97","9","9"
"2025-06-26","Ridgeview MS","Middle","882","864","26","0","98","99","35","9"
"2025-06-26","Shady Grove Elem","Elementary","120","118","2","0","98","98","5","1"
"2025-06-26","Parkwood Elem","Elementary","117","113","2","2","97","97","2","1"
"2025-06-26","Willowbrook Elem","Elementary","114","111","3","0","97","98","1","1"
"2025-06-26","Willis Lane Elem","Elementary","112","106","3","3","95","98","3","1"
"2025-06-26","Florence Elem","Elementary","111","105","2","4","95","98","1","1"
"2025-06-26","Basswood Elem","Elementary","110","107","2","1","97","99","2","1"
"2025-06-26","Parkview Elem","Elementary","108","106","1","1","98","97","4","1"
"2025-06-26","Liberty Elem","Elementary","106","101","3","2","95","98","1","1"
"2025-07-03","Keller HS","High School","2660","2607","53","0","98","99","53","27"
"2025-07-03","Timber Creek HS","High School","2565","2437","26","102","95","99","103","26"
"2025-07-03","Central HS","High School","2470","2396","25","49","97","98","99","25"
"2025-07-03","Foster HS","High School","2375","2256","24","95","95","98","48","24"
"2025-07-03","Indian Springs MS","Middle","1080","1058","11","11","98","98","43","11"
"2025-07-03","Hillwood MS","Middle","1035","1014","31","0","98","98","21","10"
"2025-07-03","Trinity Springs MS","Middle","990","950","30","10","96","99","40","10"
"2025-07-03","Bear Creek MS","Middle","945","926","28","0","98","99","9","9"
"2025-07-03","Timberview MS","Middle","900","855","18","27","95","97","18","9"
"2025-07-03","Ridgeview MS","Middle","882","847","9","26","96","98","18","9"
"2025-07-03","Shady Grove Elem","Elementary","120","118","1","1","98","98","2","1"
"2025-07-03","Parkwood Elem","Elementary","117","115","1","1","98","99","5","1"
"2025-07-03","Willowbrook Elem","Elementary","114","108","3","3","95","97","1","1"
"2025-07-03","Willis Lane Elem","Elementary","112","109","3","0","97","99","1","1"
"2025-07-03","Florence Elem","Elementary","111","105","1","5","95","98","2","1"
"2025-07-03","Basswood Elem","Elementary","110","104","3","3","95","98","1","1"
"2025-07-03","Parkview Elem","Elementary","108","106","1","1","98","98","4","1"
"2025-07-03","Liberty Elem","Elementary","106","102","2","2","96","98","1","1"
"2025-07-10","Keller HS","High School","2660","2607","80","0","98","97","27","27"
